Year,Articles,Country,Cancer
2017,1,Canada,Cervical cancer
2018,4,Canada,Cervical cancer
2019,3,Canada,Cervical cancer
2020,3,Canada,Cervical cancer
2021,4,Canada,Cervical cancer
2022,3,Canada,Cervical cancer
2023,3,Canada,Cervical cancer
2024,3,Canada,Cervical cancer
2025,3,Canada,Cervical cancer
1986,0,Canada,Cervical cancer
1987,0,Canada,Cervical cancer
1988,0,Canada,Cervical cancer
1989,0,Canada,Cervical cancer
1991,0,Canada,Cervical cancer
1992,0,Canada,Cervical cancer
1993,0,Canada,Cervical cancer
1994,0,Canada,Cervical cancer
1996,0,Canada,Cervical cancer
2001,0,Canada,Cervical cancer
2003,0,Canada,Cervical cancer
2005,0,Canada,Cervical cancer
2009,0,Canada,Cervical cancer
2011,0,Canada,Cervical cancer
2014,0,Canada,Cervical cancer
1989,1,Canada,Colon cancer
1990,2,Canada,Colon cancer
1992,1,Canada,Colon cancer
1996,1,Canada,Colon cancer
1999,1,Canada,Colon cancer
2001,3,Canada,Colon cancer
2002,2,Canada,Colon cancer
2003,1,Canada,Colon cancer
2005,1,Canada,Colon cancer
2008,1,Canada,Colon cancer
2010,1,Canada,Colon cancer
2011,1,Canada,Colon cancer
2012,1,Canada,Colon cancer
2013,2,Canada,Colon cancer
2015,1,Canada,Colon cancer
2016,2,Canada,Colon cancer
2017,2,Canada,Colon cancer
2019,1,Canada,Colon cancer
2020,2,Canada,Colon cancer
2022,1,Canada,Colon cancer
2024,1,Canada,Colon cancer
2025,2,Canada,Colon cancer
1986,0,Canada,Colon cancer
1987,0,Canada,Colon cancer
1988,0,Canada,Colon cancer
1991,0,Canada,Colon cancer
1993,0,Canada,Colon cancer
1994,0,Canada,Colon cancer
1995,0,Canada,Colon cancer
1997,0,Canada,Colon cancer
1998,0,Canada,Colon cancer
2000,0,Canada,Colon cancer
2004,0,Canada,Colon cancer
2006,0,Canada,Colon cancer
2007,0,Canada,Colon cancer
2009,0,Canada,Colon cancer
2014,0,Canada,Colon cancer
2018,0,Canada,Colon cancer
2021,0,Canada,Colon cancer
2023,0,Canada,Colon cancer
1987,1,Canada,Colorectal cancer
1988,2,Canada,Colorectal cancer
1989,1,Canada,Colorectal cancer
1990,4,Canada,Colorectal cancer
1991,1,Canada,Colorectal cancer
1992,3,Canada,Colorectal cancer
1993,2,Canada,Colorectal cancer
1995,2,Canada,Colorectal cancer
1996,2,Canada,Colorectal cancer
1997,2,Canada,Colorectal cancer
1998,1,Canada,Colorectal cancer
1999,3,Canada,Colorectal cancer
2001,1,Canada,Colorectal cancer
2002,3,Canada,Colorectal cancer
2003,4,Canada,Colorectal cancer
2004,3,Canada,Colorectal cancer
2005,6,Canada,Colorectal cancer
2006,7,Canada,Colorectal cancer
2007,4,Canada,Colorectal cancer
2008,1,Canada,Colorectal cancer
2009,3,Canada,Colorectal cancer
2011,4,Canada,Colorectal cancer
2012,4,Canada,Colorectal cancer
2013,8,Canada,Colorectal cancer
2014,6,Canada,Colorectal cancer
2015,3,Canada,Colorectal cancer
2016,5,Canada,Colorectal cancer
2017,6,Canada,Colorectal cancer
2018,7,Canada,Colorectal cancer
2019,6,Canada,Colorectal cancer
2020,8,Canada,Colorectal cancer
2021,9,Canada,Colorectal cancer
2022,3,Canada,Colorectal cancer
2023,13,Canada,Colorectal cancer
2024,12,Canada,Colorectal cancer
2025,3,Canada,Colorectal cancer
1986,0,Canada,Colorectal cancer
1994,0,Canada,Colorectal cancer
2000,0,Canada,Colorectal cancer
2010,0,Canada,Colorectal cancer
2016,3,Canada,Esophageal cancer
2019,1,Canada,Esophageal cancer
2021,1,Canada,Esophageal cancer
2022,3,Canada,Esophageal cancer
2024,1,Canada,Esophageal cancer
2025,1,Canada,Esophageal cancer
1999,2,Canada,Esophageal cancer
2000,1,Canada,Esophageal cancer
2001,1,Canada,Esophageal cancer
2003,1,Canada,Esophageal cancer
2004,1,Canada,Esophageal cancer
2009,1,Canada,Esophageal cancer
2010,1,Canada,Esophageal cancer
2013,1,Canada,Esophageal cancer
1986,0,Canada,Esophageal cancer
1987,0,Canada,Esophageal cancer
1988,0,Canada,Esophageal cancer
1989,0,Canada,Esophageal cancer
1990,0,Canada,Esophageal cancer
1991,0,Canada,Esophageal cancer
1992,0,Canada,Esophageal cancer
1993,0,Canada,Esophageal cancer
1994,0,Canada,Esophageal cancer
1995,0,Canada,Esophageal cancer
1996,0,Canada,Esophageal cancer
1997,0,Canada,Esophageal cancer
1998,0,Canada,Esophageal cancer
2002,0,Canada,Esophageal cancer
2005,0,Canada,Esophageal cancer
2006,0,Canada,Esophageal cancer
2007,0,Canada,Esophageal cancer
2008,0,Canada,Esophageal cancer
2011,0,Canada,Esophageal cancer
2012,0,Canada,Esophageal cancer
2014,0,Canada,Esophageal cancer
2015,0,Canada,Esophageal cancer
2017,0,Canada,Esophageal cancer
2018,0,Canada,Esophageal cancer
2020,0,Canada,Esophageal cancer
2023,0,Canada,Esophageal cancer
2005,1,Canada,Gallbladder cancer
1986,0,Canada,Gallbladder cancer
1987,0,Canada,Gallbladder cancer
1988,0,Canada,Gallbladder cancer
1989,0,Canada,Gallbladder cancer
1990,0,Canada,Gallbladder cancer
1991,0,Canada,Gallbladder cancer
1992,0,Canada,Gallbladder cancer
1993,0,Canada,Gallbladder cancer
1994,0,Canada,Gallbladder cancer
1995,0,Canada,Gallbladder cancer
1996,0,Canada,Gallbladder cancer
1997,0,Canada,Gallbladder cancer
1998,0,Canada,Gallbladder cancer
1999,0,Canada,Gallbladder cancer
2000,0,Canada,Gallbladder cancer
2001,0,Canada,Gallbladder cancer
2002,0,Canada,Gallbladder cancer
2003,0,Canada,Gallbladder cancer
2004,0,Canada,Gallbladder cancer
2006,0,Canada,Gallbladder cancer
2007,0,Canada,Gallbladder cancer
2008,0,Canada,Gallbladder cancer
2009,0,Canada,Gallbladder cancer
2010,0,Canada,Gallbladder cancer
2011,0,Canada,Gallbladder cancer
2012,0,Canada,Gallbladder cancer
2013,0,Canada,Gallbladder cancer
2014,0,Canada,Gallbladder cancer
2015,0,Canada,Gallbladder cancer
2016,0,Canada,Gallbladder cancer
2017,0,Canada,Gallbladder cancer
2018,0,Canada,Gallbladder cancer
2019,0,Canada,Gallbladder cancer
2020,0,Canada,Gallbladder cancer
2021,0,Canada,Gallbladder cancer
2022,0,Canada,Gallbladder cancer
2023,0,Canada,Gallbladder cancer
2024,0,Canada,Gallbladder cancer
2025,0,Canada,Gallbladder cancer
2016,2,Canada,Hodgkin lymphoma
2017,4,Canada,Hodgkin lymphoma
2019,1,Canada,Hodgkin lymphoma
2020,5,Canada,Hodgkin lymphoma
2022,1,Canada,Hodgkin lymphoma
2023,1,Canada,Hodgkin lymphoma
2024,3,Canada,Hodgkin lymphoma
2004,1,Canada,Hodgkin lymphoma
2006,1,Canada,Hodgkin lymphoma
2007,2,Canada,Hodgkin lymphoma
2009,1,Canada,Hodgkin lymphoma
2010,1,Canada,Hodgkin lymphoma
2012,7,Canada,Hodgkin lymphoma
2014,2,Canada,Hodgkin lymphoma
2015,2,Canada,Hodgkin lymphoma
1986,0,Canada,Hodgkin lymphoma
1987,0,Canada,Hodgkin lymphoma
1988,0,Canada,Hodgkin lymphoma
1989,0,Canada,Hodgkin lymphoma
1990,0,Canada,Hodgkin lymphoma
1991,0,Canada,Hodgkin lymphoma
1992,0,Canada,Hodgkin lymphoma
1993,0,Canada,Hodgkin lymphoma
1994,0,Canada,Hodgkin lymphoma
1995,0,Canada,Hodgkin lymphoma
1996,0,Canada,Hodgkin lymphoma
1997,0,Canada,Hodgkin lymphoma
1998,0,Canada,Hodgkin lymphoma
1999,0,Canada,Hodgkin lymphoma
2000,0,Canada,Hodgkin lymphoma
2001,0,Canada,Hodgkin lymphoma
2002,0,Canada,Hodgkin lymphoma
2003,0,Canada,Hodgkin lymphoma
2005,0,Canada,Hodgkin lymphoma
2008,0,Canada,Hodgkin lymphoma
2011,0,Canada,Hodgkin lymphoma
2013,0,Canada,Hodgkin lymphoma
2018,0,Canada,Hodgkin lymphoma
2021,0,Canada,Hodgkin lymphoma
2025,0,Canada,Hodgkin lymphoma
1986,0,Canada,Kaposi sarcoma
1987,0,Canada,Kaposi sarcoma
1988,0,Canada,Kaposi sarcoma
1989,0,Canada,Kaposi sarcoma
1990,0,Canada,Kaposi sarcoma
1991,0,Canada,Kaposi sarcoma
1992,0,Canada,Kaposi sarcoma
1993,0,Canada,Kaposi sarcoma
1994,0,Canada,Kaposi sarcoma
1995,0,Canada,Kaposi sarcoma
1996,0,Canada,Kaposi sarcoma
1997,0,Canada,Kaposi sarcoma
1998,0,Canada,Kaposi sarcoma
1999,0,Canada,Kaposi sarcoma
2000,0,Canada,Kaposi sarcoma
2001,0,Canada,Kaposi sarcoma
2002,0,Canada,Kaposi sarcoma
2003,0,Canada,Kaposi sarcoma
2004,0,Canada,Kaposi sarcoma
2005,0,Canada,Kaposi sarcoma
2006,0,Canada,Kaposi sarcoma
2007,0,Canada,Kaposi sarcoma
2008,0,Canada,Kaposi sarcoma
2009,0,Canada,Kaposi sarcoma
2010,0,Canada,Kaposi sarcoma
2011,0,Canada,Kaposi sarcoma
2012,0,Canada,Kaposi sarcoma
2013,0,Canada,Kaposi sarcoma
2014,0,Canada,Kaposi sarcoma
2015,0,Canada,Kaposi sarcoma
2016,0,Canada,Kaposi sarcoma
2017,0,Canada,Kaposi sarcoma
2018,0,Canada,Kaposi sarcoma
2019,0,Canada,Kaposi sarcoma
2020,0,Canada,Kaposi sarcoma
2021,0,Canada,Kaposi sarcoma
2022,0,Canada,Kaposi sarcoma
2023,0,Canada,Kaposi sarcoma
2024,0,Canada,Kaposi sarcoma
2025,0,Canada,Kaposi sarcoma
1988,1,Canada,Kidney cancer
1991,1,Canada,Kidney cancer
1992,2,Canada,Kidney cancer
1993,2,Canada,Kidney cancer
1995,1,Canada,Kidney cancer
1998,2,Canada,Kidney cancer
2000,2,Canada,Kidney cancer
2001,1,Canada,Kidney cancer
2002,2,Canada,Kidney cancer
2003,2,Canada,Kidney cancer
2005,1,Canada,Kidney cancer
2007,2,Canada,Kidney cancer
2010,1,Canada,Kidney cancer
2011,2,Canada,Kidney cancer
2012,1,Canada,Kidney cancer
2013,1,Canada,Kidney cancer
2014,2,Canada,Kidney cancer
2015,1,Canada,Kidney cancer
2016,1,Canada,Kidney cancer
2018,5,Canada,Kidney cancer
2019,4,Canada,Kidney cancer
2021,2,Canada,Kidney cancer
2022,2,Canada,Kidney cancer
2023,2,Canada,Kidney cancer
1986,0,Canada,Kidney cancer
1987,0,Canada,Kidney cancer
1989,0,Canada,Kidney cancer
1990,0,Canada,Kidney cancer
1994,0,Canada,Kidney cancer
1996,0,Canada,Kidney cancer
1997,0,Canada,Kidney cancer
1999,0,Canada,Kidney cancer
2004,0,Canada,Kidney cancer
2006,0,Canada,Kidney cancer
2008,0,Canada,Kidney cancer
2009,0,Canada,Kidney cancer
2017,0,Canada,Kidney cancer
2020,0,Canada,Kidney cancer
2024,0,Canada,Kidney cancer
2025,0,Canada,Kidney cancer
1994,1,Canada,Laryngeal cancer
1995,1,Canada,Laryngeal cancer
1986,0,Canada,Laryngeal cancer
1987,0,Canada,Laryngeal cancer
1988,0,Canada,Laryngeal cancer
1989,0,Canada,Laryngeal cancer
1990,0,Canada,Laryngeal cancer
1991,0,Canada,Laryngeal cancer
1992,0,Canada,Laryngeal cancer
1993,0,Canada,Laryngeal cancer
1996,0,Canada,Laryngeal cancer
1997,0,Canada,Laryngeal cancer
1998,0,Canada,Laryngeal cancer
1999,0,Canada,Laryngeal cancer
2000,0,Canada,Laryngeal cancer
2001,0,Canada,Laryngeal cancer
2002,0,Canada,Laryngeal cancer
2003,0,Canada,Laryngeal cancer
2004,0,Canada,Laryngeal cancer
2005,0,Canada,Laryngeal cancer
2006,0,Canada,Laryngeal cancer
2007,0,Canada,Laryngeal cancer
2008,0,Canada,Laryngeal cancer
2009,0,Canada,Laryngeal cancer
2010,0,Canada,Laryngeal cancer
2011,0,Canada,Laryngeal cancer
2012,0,Canada,Laryngeal cancer
2013,0,Canada,Laryngeal cancer
2014,0,Canada,Laryngeal cancer
2015,0,Canada,Laryngeal cancer
2016,0,Canada,Laryngeal cancer
2017,0,Canada,Laryngeal cancer
2018,0,Canada,Laryngeal cancer
2019,0,Canada,Laryngeal cancer
2020,0,Canada,Laryngeal cancer
2021,0,Canada,Laryngeal cancer
2022,0,Canada,Laryngeal cancer
2023,0,Canada,Laryngeal cancer
2024,0,Canada,Laryngeal cancer
2025,0,Canada,Laryngeal cancer
1987,1,Canada,Leukemia
1988,6,Canada,Leukemia
1989,1,Canada,Leukemia
1990,2,Canada,Leukemia
1991,1,Canada,Leukemia
1992,6,Canada,Leukemia
1993,5,Canada,Leukemia
1994,9,Canada,Leukemia
1995,4,Canada,Leukemia
1996,6,Canada,Leukemia
1997,4,Canada,Leukemia
1998,2,Canada,Leukemia
1999,5,Canada,Leukemia
2000,6,Canada,Leukemia
2001,2,Canada,Leukemia
2002,5,Canada,Leukemia
2003,3,Canada,Leukemia
2004,9,Canada,Leukemia
2005,9,Canada,Leukemia
2006,9,Canada,Leukemia
2007,3,Canada,Leukemia
2008,5,Canada,Leukemia
2009,10,Canada,Leukemia
2010,4,Canada,Leukemia
2011,7,Canada,Leukemia
2012,9,Canada,Leukemia
2013,10,Canada,Leukemia
2014,9,Canada,Leukemia
2015,6,Canada,Leukemia
2016,8,Canada,Leukemia
2017,7,Canada,Leukemia
2018,11,Canada,Leukemia
2019,12,Canada,Leukemia
2020,8,Canada,Leukemia
2021,13,Canada,Leukemia
2022,3,Canada,Leukemia
2023,2,Canada,Leukemia
2024,3,Canada,Leukemia
2025,5,Canada,Leukemia
1986,0,Canada,Leukemia
1992,1,Canada,Liver cancer
1995,1,Canada,Liver cancer
2006,5,Canada,Liver cancer
2007,1,Canada,Liver cancer
2008,3,Canada,Liver cancer
2010,1,Canada,Liver cancer
2011,1,Canada,Liver cancer
2012,1,Canada,Liver cancer
2013,3,Canada,Liver cancer
2014,1,Canada,Liver cancer
2015,2,Canada,Liver cancer
2016,3,Canada,Liver cancer
2017,2,Canada,Liver cancer
2018,2,Canada,Liver cancer
2019,2,Canada,Liver cancer
2020,2,Canada,Liver cancer
2022,1,Canada,Liver cancer
2023,1,Canada,Liver cancer
2024,1,Canada,Liver cancer
1986,0,Canada,Liver cancer
1987,0,Canada,Liver cancer
1988,0,Canada,Liver cancer
1989,0,Canada,Liver cancer
1990,0,Canada,Liver cancer
1991,0,Canada,Liver cancer
1993,0,Canada,Liver cancer
1994,0,Canada,Liver cancer
1996,0,Canada,Liver cancer
1997,0,Canada,Liver cancer
1998,0,Canada,Liver cancer
1999,0,Canada,Liver cancer
2000,0,Canada,Liver cancer
2001,0,Canada,Liver cancer
2002,0,Canada,Liver cancer
2003,0,Canada,Liver cancer
2004,0,Canada,Liver cancer
2005,0,Canada,Liver cancer
2009,0,Canada,Liver cancer
2021,0,Canada,Liver cancer
2025,0,Canada,Liver cancer
1992,1,Canada,Lung cancer
1995,1,Canada,Lung cancer
2006,5,Canada,Lung cancer
2007,1,Canada,Lung cancer
2008,3,Canada,Lung cancer
2010,1,Canada,Lung cancer
2011,1,Canada,Lung cancer
2012,1,Canada,Lung cancer
2013,3,Canada,Lung cancer
2014,1,Canada,Lung cancer
2015,2,Canada,Lung cancer
2016,3,Canada,Lung cancer
2017,2,Canada,Lung cancer
2018,2,Canada,Lung cancer
2019,2,Canada,Lung cancer
2020,2,Canada,Lung cancer
2022,1,Canada,Lung cancer
2023,1,Canada,Lung cancer
2024,1,Canada,Lung cancer
1986,0,Canada,Lung cancer
1987,0,Canada,Lung cancer
1988,0,Canada,Lung cancer
1989,0,Canada,Lung cancer
1990,0,Canada,Lung cancer
1991,0,Canada,Lung cancer
1993,0,Canada,Lung cancer
1994,0,Canada,Lung cancer
1996,0,Canada,Lung cancer
1997,0,Canada,Lung cancer
1998,0,Canada,Lung cancer
1999,0,Canada,Lung cancer
2000,0,Canada,Lung cancer
2001,0,Canada,Lung cancer
2002,0,Canada,Lung cancer
2003,0,Canada,Lung cancer
2004,0,Canada,Lung cancer
2005,0,Canada,Lung cancer
2009,0,Canada,Lung cancer
2021,0,Canada,Lung cancer
2025,0,Canada,Lung cancer
2016,2,Canada,Mesothelioma
2017,1,Canada,Mesothelioma
2018,1,Canada,Mesothelioma
1989,1,Canada,Mesothelioma
2021,1,Canada,Mesothelioma
1991,1,Canada,Mesothelioma
2023,2,Canada,Mesothelioma
1995,1,Canada,Mesothelioma
1998,1,Canada,Mesothelioma
2011,1,Canada,Mesothelioma
2013,1,Canada,Mesothelioma
2014,1,Canada,Mesothelioma
2015,1,Canada,Mesothelioma
1986,0,Canada,Mesothelioma
1987,0,Canada,Mesothelioma
1988,0,Canada,Mesothelioma
1990,0,Canada,Mesothelioma
1992,0,Canada,Mesothelioma
1993,0,Canada,Mesothelioma
1994,0,Canada,Mesothelioma
1996,0,Canada,Mesothelioma
1997,0,Canada,Mesothelioma
1999,0,Canada,Mesothelioma
2000,0,Canada,Mesothelioma
2001,0,Canada,Mesothelioma
2002,0,Canada,Mesothelioma
2003,0,Canada,Mesothelioma
2004,0,Canada,Mesothelioma
2005,0,Canada,Mesothelioma
2006,0,Canada,Mesothelioma
2007,0,Canada,Mesothelioma
2008,0,Canada,Mesothelioma
2009,0,Canada,Mesothelioma
2010,0,Canada,Mesothelioma
2012,0,Canada,Mesothelioma
2019,0,Canada,Mesothelioma
2020,0,Canada,Mesothelioma
2022,0,Canada,Mesothelioma
2024,0,Canada,Mesothelioma
2025,0,Canada,Mesothelioma
1986,0,Canada,Mouth cancer
1987,0,Canada,Mouth cancer
1988,0,Canada,Mouth cancer
1989,0,Canada,Mouth cancer
1990,0,Canada,Mouth cancer
1991,0,Canada,Mouth cancer
1992,0,Canada,Mouth cancer
1993,0,Canada,Mouth cancer
1994,0,Canada,Mouth cancer
1995,0,Canada,Mouth cancer
1996,0,Canada,Mouth cancer
1997,0,Canada,Mouth cancer
1998,0,Canada,Mouth cancer
1999,0,Canada,Mouth cancer
2000,0,Canada,Mouth cancer
2001,0,Canada,Mouth cancer
2002,0,Canada,Mouth cancer
2003,0,Canada,Mouth cancer
2004,0,Canada,Mouth cancer
2005,0,Canada,Mouth cancer
2006,0,Canada,Mouth cancer
2007,0,Canada,Mouth cancer
2008,0,Canada,Mouth cancer
2009,0,Canada,Mouth cancer
2010,0,Canada,Mouth cancer
2011,0,Canada,Mouth cancer
2012,0,Canada,Mouth cancer
2013,0,Canada,Mouth cancer
2014,0,Canada,Mouth cancer
2015,0,Canada,Mouth cancer
2016,0,Canada,Mouth cancer
2017,0,Canada,Mouth cancer
2018,0,Canada,Mouth cancer
2019,0,Canada,Mouth cancer
2020,0,Canada,Mouth cancer
2021,0,Canada,Mouth cancer
2022,0,Canada,Mouth cancer
2023,0,Canada,Mouth cancer
2024,0,Canada,Mouth cancer
2025,0,Canada,Mouth cancer
1988,2,Canada,Multiple myeloma
1991,2,Canada,Multiple myeloma
1992,2,Canada,Multiple myeloma
1993,1,Canada,Multiple myeloma
1995,3,Canada,Multiple myeloma
1999,5,Canada,Multiple myeloma
2001,3,Canada,Multiple myeloma
2002,1,Canada,Multiple myeloma
2003,1,Canada,Multiple myeloma
2004,1,Canada,Multiple myeloma
2005,1,Canada,Multiple myeloma
2006,2,Canada,Multiple myeloma
2007,3,Canada,Multiple myeloma
2008,1,Canada,Multiple myeloma
2009,3,Canada,Multiple myeloma
2011,3,Canada,Multiple myeloma
2013,2,Canada,Multiple myeloma
2014,2,Canada,Multiple myeloma
2015,4,Canada,Multiple myeloma
2016,2,Canada,Multiple myeloma
2017,2,Canada,Multiple myeloma
2018,2,Canada,Multiple myeloma
2020,2,Canada,Multiple myeloma
2021,5,Canada,Multiple myeloma
2022,4,Canada,Multiple myeloma
2023,2,Canada,Multiple myeloma
2024,4,Canada,Multiple myeloma
2025,2,Canada,Multiple myeloma
1986,0,Canada,Multiple myeloma
1987,0,Canada,Multiple myeloma
1989,0,Canada,Multiple myeloma
1990,0,Canada,Multiple myeloma
1994,0,Canada,Multiple myeloma
1996,0,Canada,Multiple myeloma
1997,0,Canada,Multiple myeloma
1998,0,Canada,Multiple myeloma
2000,0,Canada,Multiple myeloma
2010,0,Canada,Multiple myeloma
2012,0,Canada,Multiple myeloma
2019,0,Canada,Multiple myeloma
2002,1,Canada,Non-Hodgkin lymphoma
2003,1,Canada,Non-Hodgkin lymphoma
2004,1,Canada,Non-Hodgkin lymphoma
2006,4,Canada,Non-Hodgkin lymphoma
2007,1,Canada,Non-Hodgkin lymphoma
2009,2,Canada,Non-Hodgkin lymphoma
2010,1,Canada,Non-Hodgkin lymphoma
2011,2,Canada,Non-Hodgkin lymphoma
2012,3,Canada,Non-Hodgkin lymphoma
2013,1,Canada,Non-Hodgkin lymphoma
2014,5,Canada,Non-Hodgkin lymphoma
2015,5,Canada,Non-Hodgkin lymphoma
2016,3,Canada,Non-Hodgkin lymphoma
2017,6,Canada,Non-Hodgkin lymphoma
2018,3,Canada,Non-Hodgkin lymphoma
2019,1,Canada,Non-Hodgkin lymphoma
2020,1,Canada,Non-Hodgkin lymphoma
2023,1,Canada,Non-Hodgkin lymphoma
2024,4,Canada,Non-Hodgkin lymphoma
2025,1,Canada,Non-Hodgkin lymphoma
1986,0,Canada,Non-Hodgkin lymphoma
1987,0,Canada,Non-Hodgkin lymphoma
1988,0,Canada,Non-Hodgkin lymphoma
1989,0,Canada,Non-Hodgkin lymphoma
1990,0,Canada,Non-Hodgkin lymphoma
1991,0,Canada,Non-Hodgkin lymphoma
1992,0,Canada,Non-Hodgkin lymphoma
1993,0,Canada,Non-Hodgkin lymphoma
1994,0,Canada,Non-Hodgkin lymphoma
1995,0,Canada,Non-Hodgkin lymphoma
1996,0,Canada,Non-Hodgkin lymphoma
1997,0,Canada,Non-Hodgkin lymphoma
1998,0,Canada,Non-Hodgkin lymphoma
