Cancer,Articles,Country
Kidney cancer,0,Nigeria
Laryngeal cancer,0,Nigeria
Leukemia,3,Nigeria
Liver cancer,1,Nigeria
Lung cancer,1,Nigeria
Mesothelioma,0,Nigeria
Mouth cancer,0,Nigeria
Multiple myeloma,0,Nigeria
Non-Hodgkin lymphoma,0,Nigeria
Other cancer,0,Nigeria
Ovarian cancer,0,Nigeria
Pancreatic cancer,0,Nigeria
Penile cancer,0,Nigeria
Prostate cancer,2,Nigeria
Rectal cancer,0,Nigeria
Salivary gland cancer,0,Nigeria
Skin cancer,0,Nigeria
Stomach cancer,0,Nigeria
Testicular cancer,0,Nigeria
Throat cancer,0,Nigeria
Thyroid cancer,0,Nigeria
Undetermined cancer,0,Nigeria
Uterine cancer,0,Nigeria
Vaginal cancer,0,Nigeria
Vulvar cancer,0,Nigeria
Anal cancer,0,Croatia
Bladder cancer,3,Croatia
Brain cancer,1,Croatia
Breast cancer,13,Croatia
Cervical cancer,4,Croatia
Colon cancer,1,Croatia
Colorectal cancer,8,Croatia
Esophageal cancer,1,Croatia
Gallbladder cancer,0,Croatia
Hodgkin lymphoma,3,Croatia
Kaposi sarcoma,0,Croatia
Kidney cancer,1,Croatia
Laryngeal cancer,0,Croatia
Leukemia,9,Croatia
Liver cancer,2,Croatia
Lung cancer,2,Croatia
Mesothelioma,0,Croatia
Mouth cancer,0,Croatia
Multiple myeloma,1,Croatia
Non-Hodgkin lymphoma,3,Croatia
Other cancer,0,Croatia
Ovarian cancer,1,Croatia
Pancreatic cancer,1,Croatia
Penile cancer,0,Croatia
Prostate cancer,1,Croatia
Rectal cancer,0,Croatia
Salivary gland cancer,0,Croatia
Skin cancer,5,Croatia
Stomach cancer,0,Croatia
Testicular cancer,0,Croatia
Throat cancer,0,Croatia
Thyroid cancer,0,Croatia
Undetermined cancer,0,Croatia
Uterine cancer,1,Croatia
Vaginal cancer,0,Croatia
Vulvar cancer,1,Croatia
Anal cancer,0,Eswatini
Bladder cancer,0,Eswatini
Brain cancer,0,Eswatini
Breast cancer,1,Eswatini
Cervical cancer,0,Eswatini
Colon cancer,0,Eswatini
Colorectal cancer,0,Eswatini
Esophageal cancer,0,Eswatini
Gallbladder cancer,0,Eswatini
Hodgkin lymphoma,0,Eswatini
Kaposi sarcoma,0,Eswatini
Kidney cancer,0,Eswatini
Laryngeal cancer,0,Eswatini
Leukemia,0,Eswatini
Liver cancer,0,Eswatini
Lung cancer,0,Eswatini
Mesothelioma,0,Eswatini
Mouth cancer,0,Eswatini
Multiple myeloma,0,Eswatini
Non-Hodgkin lymphoma,0,Eswatini
Other cancer,0,Eswatini
Ovarian cancer,0,Eswatini
Pancreatic cancer,0,Eswatini
Penile cancer,0,Eswatini
Prostate cancer,0,Eswatini
Rectal cancer,0,Eswatini
Salivary gland cancer,0,Eswatini
Skin cancer,0,Eswatini
Stomach cancer,0,Eswatini
Testicular cancer,0,Eswatini
Throat cancer,0,Eswatini
Thyroid cancer,0,Eswatini
Undetermined cancer,0,Eswatini
Uterine cancer,0,Eswatini
Vaginal cancer,0,Eswatini
Vulvar cancer,0,Eswatini
Anal cancer,3,Switzerland
Bladder cancer,33,Switzerland
Brain cancer,55,Switzerland
Breast cancer,183,Switzerland
Cervical cancer,15,Switzerland
Colon cancer,15,Switzerland
Colorectal cancer,43,Switzerland
Esophageal cancer,11,Switzerland
Gallbladder cancer,1,Switzerland
Hodgkin lymphoma,8,Switzerland
Kaposi sarcoma,0,Switzerland
Kidney cancer,5,Switzerland
Laryngeal cancer,0,Switzerland
Leukemia,63,Switzerland
Liver cancer,14,Switzerland
Lung cancer,14,Switzerland
Mesothelioma,18,Switzerland
Mouth cancer,0,Switzerland
Multiple myeloma,22,Switzerland
Non-Hodgkin lymphoma,31,Switzerland
Other cancer,0,Switzerland
Ovarian cancer,20,Switzerland
Pancreatic cancer,21,Switzerland
Penile cancer,0,Switzerland
Prostate cancer,79,Switzerland
Rectal cancer,23,Switzerland
Salivary gland cancer,0,Switzerland
Skin cancer,99,Switzerland
Stomach cancer,5,Switzerland
Testicular cancer,1,Switzerland
Throat cancer,0,Switzerland
Thyroid cancer,8,Switzerland
Undetermined cancer,0,Switzerland
Uterine cancer,4,Switzerland
Vaginal cancer,0,Switzerland
Vulvar cancer,0,Switzerland
Anal cancer,0,Cambodia
Bladder cancer,0,Cambodia
Brain cancer,0,Cambodia
Breast cancer,0,Cambodia
Cervical cancer,0,Cambodia
Colon cancer,0,Cambodia
Colorectal cancer,0,Cambodia
Esophageal cancer,0,Cambodia
Gallbladder cancer,0,Cambodia
Hodgkin lymphoma,0,Cambodia
Kaposi sarcoma,0,Cambodia
Kidney cancer,0,Cambodia
Laryngeal cancer,0,Cambodia
Leukemia,0,Cambodia
Liver cancer,0,Cambodia
Lung cancer,0,Cambodia
Mesothelioma,0,Cambodia
Mouth cancer,0,Cambodia
Multiple myeloma,0,Cambodia
Non-Hodgkin lymphoma,0,Cambodia
Other cancer,0,Cambodia
Ovarian cancer,0,Cambodia
Pancreatic cancer,0,Cambodia
Penile cancer,0,Cambodia
Prostate cancer,0,Cambodia
Rectal cancer,0,Cambodia
Salivary gland cancer,0,Cambodia
Skin cancer,0,Cambodia
Stomach cancer,0,Cambodia
Testicular cancer,0,Cambodia
Throat cancer,0,Cambodia
Thyroid cancer,0,Cambodia
Undetermined cancer,0,Cambodia
Uterine cancer,0,Cambodia
Vaginal cancer,0,Cambodia
Vulvar cancer,0,Cambodia
Anal cancer,4,Spain
Bladder cancer,71,Spain
Brain cancer,39,Spain
Breast cancer,474,Spain
Cervical cancer,30,Spain
Colon cancer,34,Spain
Colorectal cancer,268,Spain
Esophageal cancer,8,Spain
Gallbladder cancer,0,Spain
Hodgkin lymphoma,18,Spain
Kaposi sarcoma,2,Spain
Kidney cancer,23,Spain
Laryngeal cancer,16,Spain
Leukemia,189,Spain
Liver cancer,53,Spain
Lung cancer,53,Spain
Mesothelioma,6,Spain
Mouth cancer,0,Spain
Multiple myeloma,137,Spain
Non-Hodgkin lymphoma,71,Spain
Other cancer,0,Spain
Ovarian cancer,61,Spain
Pancreatic cancer,37,Spain
Penile cancer,0,Spain
Prostate cancer,117,Spain
Rectal cancer,72,Spain
Salivary gland cancer,1,Spain
Skin cancer,59,Spain
Stomach cancer,14,Spain
Testicular cancer,1,Spain
Throat cancer,0,Spain
Thyroid cancer,9,Spain
Undetermined cancer,0,Spain
Uterine cancer,18,Spain
Vaginal cancer,0,Spain
Vulvar cancer,0,Spain
Anal cancer,0,Reunion
Bladder cancer,0,Reunion
Brain cancer,0,Reunion
Breast cancer,0,Reunion
Cervical cancer,0,Reunion
Colon cancer,0,Reunion
Colorectal cancer,0,Reunion
Esophageal cancer,0,Reunion
Gallbladder cancer,0,Reunion
Hodgkin lymphoma,0,Reunion
Kaposi sarcoma,0,Reunion
Kidney cancer,0,Reunion
Laryngeal cancer,0,Reunion
Leukemia,0,Reunion
Liver cancer,0,Reunion
Lung cancer,0,Reunion
Mesothelioma,0,Reunion
Mouth cancer,0,Reunion
Multiple myeloma,0,Reunion
Non-Hodgkin lymphoma,0,Reunion
Other cancer,0,Reunion
Ovarian cancer,0,Reunion
Pancreatic cancer,0,Reunion
Penile cancer,0,Reunion
Prostate cancer,0,Reunion
Rectal cancer,0,Reunion
Salivary gland cancer,0,Reunion
Skin cancer,1,Reunion
Stomach cancer,0,Reunion
Testicular cancer,0,Reunion
Throat cancer,0,Reunion
Thyroid cancer,0,Reunion
Undetermined cancer,0,Reunion
Uterine cancer,0,Reunion
Vaginal cancer,0,Reunion
Vulvar cancer,0,Reunion
Anal cancer,0,Thailand
Bladder cancer,1,Thailand
Brain cancer,0,Thailand
Breast cancer,25,Thailand
Cervical cancer,41,Thailand
Colon cancer,2,Thailand
Colorectal cancer,22,Thailand
Esophageal cancer,8,Thailand
Gallbladder cancer,0,Thailand
Hodgkin lymphoma,0,Thailand
Kaposi sarcoma,0,Thailand
Kidney cancer,1,Thailand
Laryngeal cancer,1,Thailand
Leukemia,17,Thailand
Liver cancer,16,Thailand
Lung cancer,16,Thailand
Mesothelioma,0,Thailand
Mouth cancer,0,Thailand
Multiple myeloma,1,Thailand
Non-Hodgkin lymphoma,0,Thailand
Other cancer,0,Thailand
Ovarian cancer,7,Thailand
Pancreatic cancer,1,Thailand
Penile cancer,0,Thailand
Prostate cancer,2,Thailand
Rectal cancer,5,Thailand
Salivary gland cancer,0,Thailand
Skin cancer,1,Thailand
Stomach cancer,1,Thailand
Testicular cancer,0,Thailand
Throat cancer,0,Thailand
Thyroid cancer,2,Thailand
Undetermined cancer,0,Thailand
Uterine cancer,4,Thailand
Vaginal cancer,0,Thailand
Vulvar cancer,0,Thailand
Anal cancer,0,United Arab Emirates
Bladder cancer,0,United Arab Emirates
Brain cancer,0,United Arab Emirates
Breast cancer,2,United Arab Emirates
Cervical cancer,0,United Arab Emirates
Colon cancer,1,United Arab Emirates
Colorectal cancer,1,United Arab Emirates
Esophageal cancer,0,United Arab Emirates
Gallbladder cancer,0,United Arab Emirates
Hodgkin lymphoma,0,United Arab Emirates
Kaposi sarcoma,0,United Arab Emirates
Kidney cancer,0,United Arab Emirates
Laryngeal cancer,0,United Arab Emirates
Leukemia,4,United Arab Emirates
Liver cancer,0,United Arab Emirates
Lung cancer,0,United Arab Emirates
Mesothelioma,0,United Arab Emirates
Mouth cancer,0,United Arab Emirates
Multiple myeloma,1,United Arab Emirates
Non-Hodgkin lymphoma,0,United Arab Emirates
Other cancer,0,United Arab Emirates
Ovarian cancer,1,United Arab Emirates
Pancreatic cancer,0,United Arab Emirates
Penile cancer,0,United Arab Emirates
Prostate cancer,0,United Arab Emirates
Rectal cancer,0,United Arab Emirates
Salivary gland cancer,0,United Arab Emirates
Skin cancer,0,United Arab Emirates
Stomach cancer,0,United Arab Emirates
Testicular cancer,0,United Arab Emirates
Throat cancer,0,United Arab Emirates
Thyroid cancer,0,United Arab Emirates
Undetermined cancer,0,United Arab Emirates
Uterine cancer,0,United Arab Emirates
Vaginal cancer,0,United Arab Emirates
Vulvar cancer,0,United Arab Emirates
Anal cancer,0,Kuwait
Bladder cancer,0,Kuwait
Brain cancer,0,Kuwait
Breast cancer,3,Kuwait
Cervical cancer,0,Kuwait
Colon cancer,0,Kuwait
Colorectal cancer,0,Kuwait
Esophageal cancer,0,Kuwait
Gallbladder cancer,0,Kuwait
Hodgkin lymphoma,0,Kuwait
Kaposi sarcoma,0,Kuwait
Kidney cancer,0,Kuwait
Laryngeal cancer,0,Kuwait
Leukemia,0,Kuwait
Liver cancer,0,Kuwait
Lung cancer,0,Kuwait
Mesothelioma,0,Kuwait
Mouth cancer,0,Kuwait
Multiple myeloma,0,Kuwait
Non-Hodgkin lymphoma,0,Kuwait
Other cancer,0,Kuwait
Ovarian cancer,0,Kuwait
Pancreatic cancer,0,Kuwait
Penile cancer,0,Kuwait
Prostate cancer,0,Kuwait
Rectal cancer,0,Kuwait
Salivary gland cancer,0,Kuwait
Skin cancer,0,Kuwait
Stomach cancer,0,Kuwait
Testicular cancer,0,Kuwait
Throat cancer,0,Kuwait
Thyroid cancer,1,Kuwait
Undetermined cancer,0,Kuwait
Uterine cancer,2,Kuwait
Vaginal cancer,0,Kuwait
Vulvar cancer,0,Kuwait
Anal cancer,0,Palestine
Bladder cancer,0,Palestine
Brain cancer,0,Palestine
Breast cancer,0,Palestine
Cervical cancer,0,Palestine
Colon cancer,0,Palestine
Colorectal cancer,0,Palestine
Esophageal cancer,0,Palestine
Gallbladder cancer,0,Palestine
Hodgkin lymphoma,0,Palestine
Kaposi sarcoma,0,Palestine
Kidney cancer,0,Palestine
Laryngeal cancer,0,Palestine
Leukemia,0,Palestine
Liver cancer,0,Palestine
Lung cancer,0,Palestine
Mesothelioma,0,Palestine
Mouth cancer,0,Palestine
Multiple myeloma,0,Palestine
Non-Hodgkin lymphoma,0,Palestine
Other cancer,0,Palestine
Ovarian cancer,0,Palestine
Pancreatic cancer,0,Palestine
Penile cancer,0,Palestine
Prostate cancer,0,Palestine
Rectal cancer,0,Palestine
Salivary gland cancer,0,Palestine
Skin cancer,0,Palestine
Stomach cancer,0,Palestine
Testicular cancer,0,Palestine
Throat cancer,0,Palestine
Thyroid cancer,0,Palestine
Undetermined cancer,0,Palestine
Uterine cancer,0,Palestine
Vaginal cancer,0,Palestine
Vulvar cancer,0,Palestine
Anal cancer,0,Suriname
Bladder cancer,0,Suriname
Brain cancer,0,Suriname
Breast cancer,0,Suriname
Cervical cancer,0,Suriname
Colon cancer,0,Suriname
Colorectal cancer,0,Suriname
Esophageal cancer,0,Suriname
Gallbladder cancer,0,Suriname
Hodgkin lymphoma,0,Suriname
Kaposi sarcoma,0,Suriname
Kidney cancer,0,Suriname
Laryngeal cancer,0,Suriname
Leukemia,0,Suriname
Liver cancer,0,Suriname
Lung cancer,0,Suriname
Mesothelioma,0,Suriname
Mouth cancer,0,Suriname
Multiple myeloma,0,Suriname
Non-Hodgkin lymphoma,0,Suriname
Other cancer,0,Suriname
Ovarian cancer,0,Suriname
Pancreatic cancer,0,Suriname
Penile cancer,0,Suriname
Prostate cancer,0,Suriname
Rectal cancer,0,Suriname
Salivary gland cancer,0,Suriname
Skin cancer,0,Suriname
Stomach cancer,0,Suriname
Testicular cancer,0,Suriname
Throat cancer,0,Suriname
Thyroid cancer,0,Suriname
Undetermined cancer,0,Suriname
Uterine cancer,0,Suriname
Vaginal cancer,0,Suriname
Vulvar cancer,0,Suriname
Anal cancer,0,Portugal
Bladder cancer,4,Portugal
Brain cancer,2,Portugal
Breast cancer,28,Portugal
Cervical cancer,9,Portugal
Colon cancer,0,Portugal
Colorectal cancer,9,Portugal
Esophageal cancer,0,Portugal
Gallbladder cancer,0,Portugal
Hodgkin lymphoma,0,Portugal
Kaposi sarcoma,0,Portugal
Kidney cancer,1,Portugal
Laryngeal cancer,0,Portugal
Leukemia,7,Portugal
Liver cancer,3,Portugal
Lung cancer,3,Portugal
Mesothelioma,0,Portugal
Mouth cancer,0,Portugal
Multiple myeloma,4,Portugal
Non-Hodgkin lymphoma,0,Portugal
Other cancer,0,Portugal
Ovarian cancer,2,Portugal
Pancreatic cancer,0,Portugal
Penile cancer,0,Portugal
Prostate cancer,8,Portugal
Rectal cancer,2,Portugal
Salivary gland cancer,0,Portugal
Skin cancer,1,Portugal
Stomach cancer,0,Portugal
Testicular cancer,0,Portugal
Throat cancer,0,Portugal
Thyroid cancer,0,Portugal
Undetermined cancer,0,Portugal
Uterine cancer,0,Portugal
Vaginal cancer,0,Portugal
Vulvar cancer,0,Portugal
Anal cancer,0,Afghanistan
Bladder cancer,0,Afghanistan
Brain cancer,0,Afghanistan
Breast cancer,0,Afghanistan
Cervical cancer,0,Afghanistan
Colon cancer,0,Afghanistan
Colorectal cancer,0,Afghanistan
Esophageal cancer,0,Afghanistan
Gallbladder cancer,0,Afghanistan
Hodgkin lymphoma,0,Afghanistan
Kaposi sarcoma,0,Afghanistan
Kidney cancer,0,Afghanistan
Laryngeal cancer,0,Afghanistan
Leukemia,0,Afghanistan
Liver cancer,0,Afghanistan
Lung cancer,0,Afghanistan
Mesothelioma,0,Afghanistan
Mouth cancer,0,Afghanistan
Multiple myeloma,0,Afghanistan
Non-Hodgkin lymphoma,0,Afghanistan
Other cancer,0,Afghanistan
Ovarian cancer,0,Afghanistan
Pancreatic cancer,0,Afghanistan
Penile cancer,0,Afghanistan
Prostate cancer,0,Afghanistan
Rectal cancer,0,Afghanistan
Salivary gland cancer,0,Afghanistan
Skin cancer,0,Afghanistan
Stomach cancer,0,Afghanistan
Testicular cancer,0,Afghanistan
Throat cancer,0,Afghanistan
Thyroid cancer,0,Afghanistan
Undetermined cancer,0,Afghanistan
Uterine cancer,0,Afghanistan
Vaginal cancer,0,Afghanistan
Vulvar cancer,0,Afghanistan
Anal cancer,0,Slovakia
Bladder cancer,1,Slovakia
Brain cancer,0,Slovakia
Breast cancer,5,Slovakia
Cervical cancer,2,Slovakia
Colon cancer,2,Slovakia
Colorectal cancer,2,Slovakia
Esophageal cancer,1,Slovakia
Gallbladder cancer,0,Slovakia
Hodgkin lymphoma,0,Slovakia
Kaposi sarcoma,0,Slovakia
Kidney cancer,0,Slovakia
Laryngeal cancer,1,Slovakia
Leukemia,11,Slovakia
Liver cancer,0,Slovakia
Lung cancer,0,Slovakia
Mesothelioma,0,Slovakia
Mouth cancer,0,Slovakia
Multiple myeloma,2,Slovakia
Non-Hodgkin lymphoma,0,Slovakia
Other cancer,0,Slovakia
Ovarian cancer,0,Slovakia
Pancreatic cancer,0,Slovakia
Penile cancer,0,Slovakia
Prostate cancer,2,Slovakia
Rectal cancer,0,Slovakia
Salivary gland cancer,0,Slovakia
Skin cancer,1,Slovakia
Stomach cancer,0,Slovakia
Testicular cancer,2,Slovakia
Throat cancer,0,Slovakia
Thyroid cancer,0,Slovakia
Undetermined cancer,0,Slovakia
Uterine cancer,0,Slovakia
Vaginal cancer,0,Slovakia
Vulvar cancer,0,Slovakia
Anal cancer,0,Congo Republic
Bladder cancer,0,Congo Republic
Brain cancer,0,Congo Republic
Breast cancer,0,Congo Republic
Cervical cancer,0,Congo Republic
Colon cancer,0,Congo Republic
Colorectal cancer,0,Congo Republic
Esophageal cancer,0,Congo Republic
Gallbladder cancer,0,Congo Republic
Hodgkin lymphoma,0,Congo Republic
Kaposi sarcoma,0,Congo Republic
Kidney cancer,0,Congo Republic
Laryngeal cancer,0,Congo Republic
Leukemia,0,Congo Republic
Liver cancer,0,Congo Republic
Lung cancer,0,Congo Republic
Mesothelioma,0,Congo Republic
Mouth cancer,0,Congo Republic
Multiple myeloma,0,Congo Republic
Non-Hodgkin lymphoma,0,Congo Republic
Other cancer,0,Congo Republic
Ovarian cancer,0,Congo Republic
Pancreatic cancer,0,Congo Republic
Penile cancer,0,Congo Republic
Prostate cancer,0,Congo Republic
Rectal cancer,0,Congo Republic
Salivary gland cancer,0,Congo Republic
Skin cancer,0,Congo Republic
Stomach cancer,0,Congo Republic
Testicular cancer,0,Congo Republic
Throat cancer,0,Congo Republic
Thyroid cancer,0,Congo Republic
Undetermined cancer,0,Congo Republic
Uterine cancer,0,Congo Republic
Vaginal cancer,0,Congo Republic
Vulvar cancer,0,Congo Republic
Anal cancer,0,Brunei Darussalam
Bladder cancer,0,Brunei Darussalam
Brain cancer,0,Brunei Darussalam
Breast cancer,0,Brunei Darussalam
Cervical cancer,0,Brunei Darussalam
Colon cancer,0,Brunei Darussalam
Colorectal cancer,1,Brunei Darussalam
Esophageal cancer,0,Brunei Darussalam
Gallbladder cancer,0,Brunei Darussalam
Hodgkin lymphoma,0,Brunei Darussalam
Kaposi sarcoma,0,Brunei Darussalam
Kidney cancer,0,Brunei Darussalam
Laryngeal cancer,0,Brunei Darussalam
Leukemia,0,Brunei Darussalam
Liver cancer,0,Brunei Darussalam
Lung cancer,0,Brunei Darussalam
Mesothelioma,0,Brunei Darussalam
Mouth cancer,0,Brunei Darussalam
Multiple myeloma,0,Brunei Darussalam
Non-Hodgkin lymphoma,0,Brunei Darussalam
Other cancer,0,Brunei Darussalam
Ovarian cancer,0,Brunei Darussalam
Pancreatic cancer,0,Brunei Darussalam
Penile cancer,0,Brunei Darussalam
Prostate cancer,0,Brunei Darussalam
Rectal cancer,0,Brunei Darussalam
Salivary gland cancer,0,Brunei Darussalam
Skin cancer,0,Brunei Darussalam
Stomach cancer,0,Brunei Darussalam
Testicular cancer,0,Brunei Darussalam
Throat cancer,0,Brunei Darussalam
Thyroid cancer,0,Brunei Darussalam
Undetermined cancer,0,Brunei Darussalam
Uterine cancer,0,Brunei Darussalam
Vaginal cancer,0,Brunei Darussalam
Vulvar cancer,0,Brunei Darussalam
Anal cancer,1,Austria
Bladder cancer,20,Austria
Brain cancer,28,Austria
Breast cancer,178,Austria
Cervical cancer,16,Austria
Colon cancer,10,Austria
Colorectal cancer,73,Austria
Esophageal cancer,7,Austria
Gallbladder cancer,0,Austria
Hodgkin lymphoma,1,Austria
Kaposi sarcoma,0,Austria
Kidney cancer,20,Austria
Laryngeal cancer,0,Austria
Leukemia,83,Austria
Liver cancer,18,Austria
Lung cancer,18,Austria
Mesothelioma,4,Austria
Mouth cancer,0,Austria
Multiple myeloma,28,Austria
Non-Hodgkin lymphoma,14,Austria
Other cancer,0,Austria
Ovarian cancer,27,Austria
Pancreatic cancer,16,Austria
Penile cancer,0,Austria
Prostate cancer,59,Austria
Rectal cancer,14,Austria
Salivary gland cancer,0,Austria
Skin cancer,45,Austria
Stomach cancer,2,Austria
Testicular cancer,4,Austria
Throat cancer,0,Austria
Thyroid cancer,16,Austria
Undetermined cancer,0,Austria
Uterine cancer,3,Austria
Vaginal cancer,0,Austria
Vulvar cancer,3,Austria
Anal cancer,0,Lesotho
Bladder cancer,0,Lesotho
Brain cancer,0,Lesotho
Breast cancer,0,Lesotho
Cervical cancer,0,Lesotho
Colon cancer,0,Lesotho
Colorectal cancer,0,Lesotho
Esophageal cancer,0,Lesotho
Gallbladder cancer,0,Lesotho
Hodgkin lymphoma,0,Lesotho
Kaposi sarcoma,0,Lesotho
Kidney cancer,0,Lesotho
Laryngeal cancer,0,Lesotho
Leukemia,0,Lesotho
Liver cancer,0,Lesotho
Lung cancer,0,Lesotho
Mesothelioma,0,Lesotho
Mouth cancer,0,Lesotho
Multiple myeloma,0,Lesotho
Non-Hodgkin lymphoma,0,Lesotho
Other cancer,0,Lesotho
Ovarian cancer,0,Lesotho
Pancreatic cancer,0,Lesotho
Penile cancer,0,Lesotho
Prostate cancer,0,Lesotho
Rectal cancer,0,Lesotho
Salivary gland cancer,0,Lesotho
Skin cancer,0,Lesotho
Stomach cancer,0,Lesotho
Testicular cancer,0,Lesotho
Throat cancer,0,Lesotho
