Year,Articles,Cancer
2001,27,Esophageal cancer
2002,27,Esophageal cancer
2003,33,Esophageal cancer
2004,31,Esophageal cancer
2005,35,Esophageal cancer
2006,35,Esophageal cancer
2007,31,Esophageal cancer
2008,33,Esophageal cancer
2009,39,Esophageal cancer
2010,38,Esophageal cancer
2011,35,Esophageal cancer
2012,66,Esophageal cancer
2013,45,Esophageal cancer
2014,56,Esophageal cancer
2015,52,Esophageal cancer
2016,48,Esophageal cancer
2017,52,Esophageal cancer
2018,40,Esophageal cancer
2019,64,Esophageal cancer
2020,64,Esophageal cancer
2021,60,Esophageal cancer
2022,61,Esophageal cancer
2023,49,Esophageal cancer
2024,48,Esophageal cancer
2025,44,Esophageal cancer
1988,1,Gallbladder cancer
1993,1,Gallbladder cancer
1994,3,Gallbladder cancer
1995,1,Gallbladder cancer
1996,1,Gallbladder cancer
1997,1,Gallbladder cancer
1998,1,Gallbladder cancer
1999,4,Gallbladder cancer
2000,5,Gallbladder cancer
2001,2,Gallbladder cancer
2002,2,Gallbladder cancer
2003,3,Gallbladder cancer
2004,1,Gallbladder cancer
2005,1,Gallbladder cancer
2006,2,Gallbladder cancer
2007,3,Gallbladder cancer
2008,5,Gallbladder cancer
2009,5,Gallbladder cancer
2010,4,Gallbladder cancer
2011,5,Gallbladder cancer
2012,2,Gallbladder cancer
2013,5,Gallbladder cancer
2014,6,Gallbladder cancer
2015,2,Gallbladder cancer
2016,3,Gallbladder cancer
2017,3,Gallbladder cancer
2018,3,Gallbladder cancer
2019,7,Gallbladder cancer
2020,8,Gallbladder cancer
2021,6,Gallbladder cancer
2022,6,Gallbladder cancer
2023,7,Gallbladder cancer
2024,4,Gallbladder cancer
2025,6,Gallbladder cancer
1984,2,Hodgkin lymphoma
1986,2,Hodgkin lymphoma
1987,6,Hodgkin lymphoma
1988,2,Hodgkin lymphoma
1989,1,Hodgkin lymphoma
1990,1,Hodgkin lymphoma
1991,4,Hodgkin lymphoma
1992,4,Hodgkin lymphoma
1993,9,Hodgkin lymphoma
1994,5,Hodgkin lymphoma
1995,7,Hodgkin lymphoma
1996,6,Hodgkin lymphoma
1997,4,Hodgkin lymphoma
1998,4,Hodgkin lymphoma
1999,6,Hodgkin lymphoma
2000,11,Hodgkin lymphoma
2001,14,Hodgkin lymphoma
2002,22,Hodgkin lymphoma
2003,17,Hodgkin lymphoma
2004,20,Hodgkin lymphoma
2005,30,Hodgkin lymphoma
2006,28,Hodgkin lymphoma
2007,37,Hodgkin lymphoma
2008,35,Hodgkin lymphoma
2009,41,Hodgkin lymphoma
2010,50,Hodgkin lymphoma
2011,50,Hodgkin lymphoma
2012,68,Hodgkin lymphoma
2013,65,Hodgkin lymphoma
2014,75,Hodgkin lymphoma
2015,86,Hodgkin lymphoma
2016,74,Hodgkin lymphoma
2017,66,Hodgkin lymphoma
2018,85,Hodgkin lymphoma
2019,105,Hodgkin lymphoma
2020,88,Hodgkin lymphoma
2021,80,Hodgkin lymphoma
2022,62,Hodgkin lymphoma
2023,46,Hodgkin lymphoma
2024,57,Hodgkin lymphoma
2025,49,Hodgkin lymphoma
1987,1,Kaposi sarcoma
1988,1,Kaposi sarcoma
1989,1,Kaposi sarcoma
1990,2,Kaposi sarcoma
1993,1,Kaposi sarcoma
1994,2,Kaposi sarcoma
1996,2,Kaposi sarcoma
1997,4,Kaposi sarcoma
1999,1,Kaposi sarcoma
2000,2,Kaposi sarcoma
2001,2,Kaposi sarcoma
2002,5,Kaposi sarcoma
2003,1,Kaposi sarcoma
2005,2,Kaposi sarcoma
2006,3,Kaposi sarcoma
2007,2,Kaposi sarcoma
2008,5,Kaposi sarcoma
2009,1,Kaposi sarcoma
2010,2,Kaposi sarcoma
2011,2,Kaposi sarcoma
2012,2,Kaposi sarcoma
2013,2,Kaposi sarcoma
2014,2,Kaposi sarcoma
2015,1,Kaposi sarcoma
2016,2,Kaposi sarcoma
2017,2,Kaposi sarcoma
2018,4,Kaposi sarcoma
2019,2,Kaposi sarcoma
2020,5,Kaposi sarcoma
2022,5,Kaposi sarcoma
2023,3,Kaposi sarcoma
2024,5,Kaposi sarcoma
2025,5,Kaposi sarcoma
1984,3,Kidney cancer
1985,11,Kidney cancer
1986,10,Kidney cancer
1987,13,Kidney cancer
1988,13,Kidney cancer
1989,25,Kidney cancer
1990,27,Kidney cancer
1991,33,Kidney cancer
1992,42,Kidney cancer
1993,59,Kidney cancer
1994,67,Kidney cancer
1995,65,Kidney cancer
1996,47,Kidney cancer
1997,54,Kidney cancer
1998,47,Kidney cancer
1999,51,Kidney cancer
2000,49,Kidney cancer
2001,34,Kidney cancer
2002,60,Kidney cancer
2003,52,Kidney cancer
2004,54,Kidney cancer
2005,47,Kidney cancer
2006,51,Kidney cancer
2007,50,Kidney cancer
2008,65,Kidney cancer
2009,47,Kidney cancer
2010,78,Kidney cancer
2011,63,Kidney cancer
2012,87,Kidney cancer
2013,88,Kidney cancer
2014,89,Kidney cancer
2015,96,Kidney cancer
2016,77,Kidney cancer
2017,76,Kidney cancer
2018,74,Kidney cancer
2019,93,Kidney cancer
2020,87,Kidney cancer
2021,79,Kidney cancer
2022,85,Kidney cancer
2023,62,Kidney cancer
2024,85,Kidney cancer
2025,49,Kidney cancer
1984,1,Laryngeal cancer
1985,2,Laryngeal cancer
1988,1,Laryngeal cancer
1989,1,Laryngeal cancer
1990,4,Laryngeal cancer
1991,1,Laryngeal cancer
1992,1,Laryngeal cancer
1993,1,Laryngeal cancer
1994,5,Laryngeal cancer
1995,7,Laryngeal cancer
1996,9,Laryngeal cancer
1997,8,Laryngeal cancer
1998,5,Laryngeal cancer
1999,9,Laryngeal cancer
2000,5,Laryngeal cancer
2001,5,Laryngeal cancer
2002,8,Laryngeal cancer
2003,10,Laryngeal cancer
2004,4,Laryngeal cancer
2005,4,Laryngeal cancer
2006,5,Laryngeal cancer
2007,4,Laryngeal cancer
2008,4,Laryngeal cancer
2009,7,Laryngeal cancer
2010,5,Laryngeal cancer
2011,3,Laryngeal cancer
2012,5,Laryngeal cancer
2013,10,Laryngeal cancer
2014,7,Laryngeal cancer
2015,6,Laryngeal cancer
2016,9,Laryngeal cancer
2017,9,Laryngeal cancer
2018,2,Laryngeal cancer
2019,4,Laryngeal cancer
2020,7,Laryngeal cancer
2021,3,Laryngeal cancer
2022,6,Laryngeal cancer
2023,2,Laryngeal cancer
2024,3,Laryngeal cancer
2025,4,Laryngeal cancer
1984,108,Leukemia
1985,114,Leukemia
1986,130,Leukemia
1987,165,Leukemia
1988,137,Leukemia
1989,184,Leukemia
1990,238,Leukemia
1991,271,Leukemia
1992,274,Leukemia
1993,238,Leukemia
1994,359,Leukemia
1995,288,Leukemia
1996,284,Leukemia
1997,262,Leukemia
1998,317,Leukemia
1999,324,Leukemia
2000,244,Leukemia
2001,246,Leukemia
2002,243,Leukemia
2003,284,Leukemia
2004,280,Leukemia
2005,285,Leukemia
2006,265,Leukemia
2007,287,Leukemia
2008,258,Leukemia
2009,285,Leukemia
2010,310,Leukemia
2011,336,Leukemia
2012,389,Leukemia
2013,398,Leukemia
2014,390,Leukemia
2015,446,Leukemia
2016,357,Leukemia
2017,384,Leukemia
2018,432,Leukemia
2019,466,Leukemia
2020,412,Leukemia
2021,425,Leukemia
2022,283,Leukemia
2023,235,Leukemia
2024,245,Leukemia
2025,237,Leukemia
1984,4,Liver cancer
1985,5,Liver cancer
1986,10,Liver cancer
1987,6,Liver cancer
1988,7,Liver cancer
1989,11,Liver cancer
1990,17,Liver cancer
1991,18,Liver cancer
1992,44,Liver cancer
1993,24,Liver cancer
1994,95,Liver cancer
1995,81,Liver cancer
1996,56,Liver cancer
1997,66,Liver cancer
1998,73,Liver cancer
1999,58,Liver cancer
2000,57,Liver cancer
2001,49,Liver cancer
2002,77,Liver cancer
2003,68,Liver cancer
2004,94,Liver cancer
2005,107,Liver cancer
2006,82,Liver cancer
2007,83,Liver cancer
2008,90,Liver cancer
2009,74,Liver cancer
2010,97,Liver cancer
2011,111,Liver cancer
2012,126,Liver cancer
2013,157,Liver cancer
2014,132,Liver cancer
2015,150,Liver cancer
2016,120,Liver cancer
2017,123,Liver cancer
2018,95,Liver cancer
2019,120,Liver cancer
2020,113,Liver cancer
2021,118,Liver cancer
2022,139,Liver cancer
2023,126,Liver cancer
2024,108,Liver cancer
2025,102,Liver cancer
1984,4,Lung cancer
1985,5,Lung cancer
1986,10,Lung cancer
1987,6,Lung cancer
1988,7,Lung cancer
1989,11,Lung cancer
1990,17,Lung cancer
1991,18,Lung cancer
1992,44,Lung cancer
1993,24,Lung cancer
1994,95,Lung cancer
1995,81,Lung cancer
1996,56,Lung cancer
1997,66,Lung cancer
1998,73,Lung cancer
1999,58,Lung cancer
2000,57,Lung cancer
2001,49,Lung cancer
2002,77,Lung cancer
2003,68,Lung cancer
2004,94,Lung cancer
2005,107,Lung cancer
2006,82,Lung cancer
2007,83,Lung cancer
2008,90,Lung cancer
2009,74,Lung cancer
2010,97,Lung cancer
2011,111,Lung cancer
2012,126,Lung cancer
2013,157,Lung cancer
2014,132,Lung cancer
2015,150,Lung cancer
2016,120,Lung cancer
2017,123,Lung cancer
2018,95,Lung cancer
2019,120,Lung cancer
2020,113,Lung cancer
2021,118,Lung cancer
2022,139,Lung cancer
2023,126,Lung cancer
2024,108,Lung cancer
2025,102,Lung cancer
1984,2,Mesothelioma
1985,3,Mesothelioma
1986,3,Mesothelioma
1987,2,Mesothelioma
1988,2,Mesothelioma
1989,1,Mesothelioma
1990,7,Mesothelioma
1991,10,Mesothelioma
1992,12,Mesothelioma
1993,7,Mesothelioma
1994,20,Mesothelioma
1995,13,Mesothelioma
1996,15,Mesothelioma
1997,18,Mesothelioma
1998,23,Mesothelioma
1999,22,Mesothelioma
2000,20,Mesothelioma
2001,20,Mesothelioma
2002,15,Mesothelioma
2003,27,Mesothelioma
2004,16,Mesothelioma
2005,22,Mesothelioma
2006,22,Mesothelioma
2007,22,Mesothelioma
2008,26,Mesothelioma
2009,22,Mesothelioma
2010,17,Mesothelioma
2011,18,Mesothelioma
2012,26,Mesothelioma
2013,23,Mesothelioma
2014,20,Mesothelioma
2015,18,Mesothelioma
2016,21,Mesothelioma
2017,19,Mesothelioma
2018,21,Mesothelioma
2019,27,Mesothelioma
2020,25,Mesothelioma
2021,27,Mesothelioma
2022,17,Mesothelioma
2023,17,Mesothelioma
2024,16,Mesothelioma
2025,10,Mesothelioma
1999,1,Mouth cancer
2001,1,Mouth cancer
2003,1,Mouth cancer
2004,1,Mouth cancer
2021,1,Mouth cancer
2024,2,Mouth cancer
1984,16,Multiple myeloma
1985,16,Multiple myeloma
1986,15,Multiple myeloma
1987,13,Multiple myeloma
1988,25,Multiple myeloma
1989,17,Multiple myeloma
1990,38,Multiple myeloma
1991,35,Multiple myeloma
1992,20,Multiple myeloma
1993,29,Multiple myeloma
1994,52,Multiple myeloma
1995,65,Multiple myeloma
1996,62,Multiple myeloma
1997,52,Multiple myeloma
1998,54,Multiple myeloma
1999,55,Multiple myeloma
2000,59,Multiple myeloma
2001,65,Multiple myeloma
2002,58,Multiple myeloma
2003,87,Multiple myeloma
2004,86,Multiple myeloma
2005,81,Multiple myeloma
2006,106,Multiple myeloma
2007,106,Multiple myeloma
2008,90,Multiple myeloma
2009,89,Multiple myeloma
2010,102,Multiple myeloma
2011,110,Multiple myeloma
2012,125,Multiple myeloma
2013,112,Multiple myeloma
2014,110,Multiple myeloma
2015,148,Multiple myeloma
2016,147,Multiple myeloma
2017,136,Multiple myeloma
2018,134,Multiple myeloma
2019,175,Multiple myeloma
2020,167,Multiple myeloma
2021,181,Multiple myeloma
2022,118,Multiple myeloma
2023,106,Multiple myeloma
2024,126,Multiple myeloma
2025,95,Multiple myeloma
1984,2,Non-Hodgkin lymphoma
1986,2,Non-Hodgkin lymphoma
1987,8,Non-Hodgkin lymphoma
1988,4,Non-Hodgkin lymphoma
1989,2,Non-Hodgkin lymphoma
1990,2,Non-Hodgkin lymphoma
1991,6,Non-Hodgkin lymphoma
1992,5,Non-Hodgkin lymphoma
1993,11,Non-Hodgkin lymphoma
1994,10,Non-Hodgkin lymphoma
1995,8,Non-Hodgkin lymphoma
1996,11,Non-Hodgkin lymphoma
1997,9,Non-Hodgkin lymphoma
1998,14,Non-Hodgkin lymphoma
1999,14,Non-Hodgkin lymphoma
2000,22,Non-Hodgkin lymphoma
2001,30,Non-Hodgkin lymphoma
2002,38,Non-Hodgkin lymphoma
2003,34,Non-Hodgkin lymphoma
2004,45,Non-Hodgkin lymphoma
2005,57,Non-Hodgkin lymphoma
2006,65,Non-Hodgkin lymphoma
2007,58,Non-Hodgkin lymphoma
2008,65,Non-Hodgkin lymphoma
2009,65,Non-Hodgkin lymphoma
2010,87,Non-Hodgkin lymphoma
2011,95,Non-Hodgkin lymphoma
2012,105,Non-Hodgkin lymphoma
2013,101,Non-Hodgkin lymphoma
2014,114,Non-Hodgkin lymphoma
2015,134,Non-Hodgkin lymphoma
2016,115,Non-Hodgkin lymphoma
2017,114,Non-Hodgkin lymphoma
2018,129,Non-Hodgkin lymphoma
2019,146,Non-Hodgkin lymphoma
2020,120,Non-Hodgkin lymphoma
2021,123,Non-Hodgkin lymphoma
2022,103,Non-Hodgkin lymphoma
2023,79,Non-Hodgkin lymphoma
2024,106,Non-Hodgkin lymphoma
2025,92,Non-Hodgkin lymphoma
1984,13,Ovarian cancer
1985,23,Ovarian cancer
1986,15,Ovarian cancer
1987,21,Ovarian cancer
1988,17,Ovarian cancer
1989,31,Ovarian cancer
1990,50,Ovarian cancer
1991,54,Ovarian cancer
1992,73,Ovarian cancer
1993,70,Ovarian cancer
1994,102,Ovarian cancer
1995,96,Ovarian cancer
1996,95,Ovarian cancer
1997,109,Ovarian cancer
1998,92,Ovarian cancer
1999,84,Ovarian cancer
2000,93,Ovarian cancer
2001,90,Ovarian cancer
2002,82,Ovarian cancer
2003,95,Ovarian cancer
2004,94,Ovarian cancer
2005,86,Ovarian cancer
2006,101,Ovarian cancer
2007,105,Ovarian cancer
2008,94,Ovarian cancer
2009,96,Ovarian cancer
2010,103,Ovarian cancer
2011,110,Ovarian cancer
2012,131,Ovarian cancer
2013,120,Ovarian cancer
2014,108,Ovarian cancer
2015,106,Ovarian cancer
2016,98,Ovarian cancer
2017,111,Ovarian cancer
2018,96,Ovarian cancer
2019,123,Ovarian cancer
2020,116,Ovarian cancer
2021,132,Ovarian cancer
2022,121,Ovarian cancer
2023,100,Ovarian cancer
2024,128,Ovarian cancer
2025,103,Ovarian cancer
1984,2,Pancreatic cancer
1985,3,Pancreatic cancer
1986,5,Pancreatic cancer
1987,2,Pancreatic cancer
1988,8,Pancreatic cancer
1989,6,Pancreatic cancer
1990,17,Pancreatic cancer
1991,15,Pancreatic cancer
1992,20,Pancreatic cancer
1993,26,Pancreatic cancer
1994,32,Pancreatic cancer
1995,29,Pancreatic cancer
1996,30,Pancreatic cancer
1997,36,Pancreatic cancer
1998,35,Pancreatic cancer
1999,50,Pancreatic cancer
2000,48,Pancreatic cancer
2001,46,Pancreatic cancer
2002,55,Pancreatic cancer
2003,48,Pancreatic cancer
2004,64,Pancreatic cancer
2005,74,Pancreatic cancer
2006,68,Pancreatic cancer
2007,65,Pancreatic cancer
2008,84,Pancreatic cancer
2009,70,Pancreatic cancer
2010,75,Pancreatic cancer
2011,90,Pancreatic cancer
2012,99,Pancreatic cancer
2013,85,Pancreatic cancer
2014,107,Pancreatic cancer
2015,99,Pancreatic cancer
2016,100,Pancreatic cancer
2017,89,Pancreatic cancer
2018,94,Pancreatic cancer
2019,97,Pancreatic cancer
2020,95,Pancreatic cancer
2021,103,Pancreatic cancer
2022,85,Pancreatic cancer
2023,90,Pancreatic cancer
2024,85,Pancreatic cancer
2025,59,Pancreatic cancer
1994,1,Penile cancer
1995,1,Penile cancer
1996,3,Penile cancer
2001,1,Penile cancer
2003,1,Penile cancer
2004,1,Penile cancer
2005,2,Penile cancer
2006,2,Penile cancer
2008,2,Penile cancer
2009,1,Penile cancer
2010,3,Penile cancer
2011,1,Penile cancer
2012,2,Penile cancer
2013,1,Penile cancer
2014,2,Penile cancer
2015,2,Penile cancer
2016,4,Penile cancer
2017,1,Penile cancer
2018,1,Penile cancer
2019,3,Penile cancer
2021,2,Penile cancer
2023,1,Penile cancer
2024,3,Penile cancer
2025,3,Penile cancer
1984,13,Prostate cancer
1985,5,Prostate cancer
1986,12,Prostate cancer
1987,18,Prostate cancer
1988,23,Prostate cancer
1989,24,Prostate cancer
1990,28,Prostate cancer
1991,29,Prostate cancer
1992,40,Prostate cancer
1993,59,Prostate cancer
1994,110,Prostate cancer
1995,123,Prostate cancer
1996,139,Prostate cancer
1997,134,Prostate cancer
1998,118,Prostate cancer
1999,173,Prostate cancer
2000,152,Prostate cancer
2001,160,Prostate cancer
2002,148,Prostate cancer
2003,230,Prostate cancer
2004,235,Prostate cancer
2005,237,Prostate cancer
2006,204,Prostate cancer
2007,294,Prostate cancer
2008,235,Prostate cancer
2009,269,Prostate cancer
2010,248,Prostate cancer
2011,243,Prostate cancer
2012,322,Prostate cancer
2013,387,Prostate cancer
2014,349,Prostate cancer
2015,340,Prostate cancer
2016,315,Prostate cancer
2017,321,Prostate cancer
2018,310,Prostate cancer
2019,312,Prostate cancer
2020,316,Prostate cancer
2021,350,Prostate cancer
2022,317,Prostate cancer
2023,254,Prostate cancer
2024,306,Prostate cancer
2025,268,Prostate cancer
1984,9,Rectal cancer
1985,7,Rectal cancer
1986,9,Rectal cancer
1987,4,Rectal cancer
1988,10,Rectal cancer
1989,13,Rectal cancer
1990,14,Rectal cancer
1991,13,Rectal cancer
1992,21,Rectal cancer
1993,17,Rectal cancer
1994,27,Rectal cancer
1995,25,Rectal cancer
1996,27,Rectal cancer
1997,41,Rectal cancer
1998,24,Rectal cancer
1999,27,Rectal cancer
2000,38,Rectal cancer
2001,40,Rectal cancer
2002,35,Rectal cancer
2003,34,Rectal cancer
2004,50,Rectal cancer
2005,65,Rectal cancer
2006,69,Rectal cancer
2007,72,Rectal cancer
2008,71,Rectal cancer
2009,66,Rectal cancer
2010,63,Rectal cancer
2011,82,Rectal cancer
2012,85,Rectal cancer
2013,99,Rectal cancer
2014,107,Rectal cancer
2015,101,Rectal cancer
2016,94,Rectal cancer
2017,76,Rectal cancer
2018,75,Rectal cancer
2019,90,Rectal cancer
2020,80,Rectal cancer
2021,84,Rectal cancer
2022,81,Rectal cancer
2023,103,Rectal cancer
2024,84,Rectal cancer
2025,91,Rectal cancer
1993,1,Salivary gland cancer
2004,1,Salivary gland cancer
2010,1,Salivary gland cancer
2015,2,Salivary gland cancer
2016,1,Salivary gland cancer
2017,1,Salivary gland cancer
2018,2,Salivary gland cancer
2019,1,Salivary gland cancer
2020,4,Salivary gland cancer
2021,1,Salivary gland cancer
2022,3,Salivary gland cancer
2023,2,Salivary gland cancer
2024,1,Salivary gland cancer
2025,3,Salivary gland cancer
1984,23,Skin cancer
1985,27,Skin cancer
1986,35,Skin cancer
1987,28,Skin cancer
1988,24,Skin cancer
1989,61,Skin cancer
1990,59,Skin cancer
1991,69,Skin cancer
1992,107,Skin cancer
1993,112,Skin cancer
1994,127,Skin cancer
1995,112,Skin cancer
1996,125,Skin cancer
1997,120,Skin cancer
1998,148,Skin cancer
1999,135,Skin cancer
2000,130,Skin cancer
2001,101,Skin cancer
2002,143,Skin cancer
2003,179,Skin cancer
2004,160,Skin cancer
2005,164,Skin cancer
2006,173,Skin cancer
2007,136,Skin cancer
2008,164,Skin cancer
2009,150,Skin cancer
2010,151,Skin cancer
2011,167,Skin cancer
2012,198,Skin cancer
2013,188,Skin cancer
2014,197,Skin cancer
2015,210,Skin cancer
2016,162,Skin cancer
2017,182,Skin cancer
2018,184,Skin cancer
2019,178,Skin cancer
2020,204,Skin cancer
2021,174,Skin cancer
2022,165,Skin cancer
2023,135,Skin cancer
2024,146,Skin cancer
2025,129,Skin cancer
1984,7,Stomach cancer
1985,7,Stomach cancer
1986,7,Stomach cancer
1987,3,Stomach cancer
1988,1,Stomach cancer
1989,8,Stomach cancer
1990,9,Stomach cancer
1991,11,Stomach cancer
1992,5,Stomach cancer
1993,4,Stomach cancer
