Country,Cancer,ASR,Crude rate
Chile,Bladder cancer,4.7,8.5
China,Bladder cancer,3.4,6.6
Colombia,Bladder cancer,2.8,4.0
Comoros,Bladder cancer,4.8,2.6
Congo Republic,Bladder cancer,0.63,0.36
DR Congo,Bladder cancer,1.6,0.77
Costa Rica,Bladder cancer,3.3,5.4
Croatia,Bladder cancer,11.7,29.9
Cuba,Bladder cancer,5.6,12.9
Cyprus,Bladder cancer,13.4,26.1
Czechia,Bladder cancer,11.7,29.3
Benin,Bladder cancer,0.91,0.47
Denmark,Bladder cancer,16.8,42.9
Dominican Republic,Bladder cancer,2.0,2.3
Ecuador,Bladder cancer,3.2,3.8
El Salvador,Bladder cancer,1.2,1.5
Ethiopia,Bladder cancer,2.5,1.4
Eritrea,Bladder cancer,2.3,1.4
Estonia,Bladder cancer,9.4,24.1
Fiji,Bladder cancer,2.5,2.5
Finland,Bladder cancer,7.9,23.8
France,Bladder cancer,10.1,30.1
French Guiana,Bladder cancer,6.0,5.4
French Polynesia,Bladder cancer,4.3,6.0
Djibouti,Bladder cancer,2.1,1.7
Gabon,Bladder cancer,1.8,1.0
Georgia,Bladder cancer,7.1,14.0
Gambia,Bladder cancer,1.3,0.66
Palestine,Bladder cancer,6.6,3.5
Germany,Bladder cancer,12.4,34.6
Ghana,Bladder cancer,2.6,1.6
Greece,Bladder cancer,18.1,49.7
Guadeloupe,Bladder cancer,3.4,9.0
Guam,Bladder cancer,1.8,2.9
Guatemala,Bladder cancer,0.81,0.61
Guinea,Bladder cancer,0.77,0.37
Guyana,Bladder cancer,1.1,1.3
Haiti,Bladder cancer,2.8,2.4
Honduras,Bladder cancer,1.8,1.4
Hungary,Bladder cancer,14.9,33.8
Iceland,Bladder cancer,12.1,25.8
India,Bladder cancer,1.6,1.6
Indonesia,Bladder cancer,2.6,2.6
Iran,Bladder cancer,7.1,7.4
Iraq,Bladder cancer,6.6,3.5
Ireland,Bladder cancer,9.6,19.6
Israel,Bladder cancer,13.7,21.0
Italy,Bladder cancer,18.1,57.4
Cote d'Ivoire,Bladder cancer,0.88,0.45
Jamaica,Bladder cancer,3.0,4.2
Japan,Bladder cancer,7.0,27.5
Kazakhstan,Bladder cancer,3.3,3.9
Jordan,Bladder cancer,8.7,6.2
Kenya,Bladder cancer,2.3,0.97
North Korea,Bladder cancer,4.1,6.2
South Korea,Bladder cancer,4.9,11.5
Kuwait,Bladder cancer,4.6,3.5
Kyrgyz Republic,Bladder cancer,2.2,1.8
Laos,Bladder cancer,1.9,1.4
Lebanon,Bladder cancer,8.9,10.5
Lesotho,Bladder cancer,1.6,1.2
Latvia,Bladder cancer,11.1,28.2
Liberia,Bladder cancer,0.67,0.38
Libya,Bladder cancer,8.7,6.8
Lithuania,Bladder cancer,7.8,20.1
Luxembourg,Bladder cancer,7.0,17.1
Madagascar,Bladder cancer,5.0,2.7
Malawi,Bladder cancer,7.2,3.9
Malaysia,Bladder cancer,2.6,2.9
Maldives,Bladder cancer,1.9,1.3
Mali,Bladder cancer,7.8,3.6
Malta,Bladder cancer,10.2,28.2
Martinique,Bladder cancer,3.0,10.2
Mauritania,Bladder cancer,2.3,1.4
Mauritius,Bladder cancer,3.1,5.5
Mexico,Bladder cancer,2.5,2.9
Mongolia,Bladder cancer,1.6,1.4
Moldova,Bladder cancer,7.2,12.4
Montenegro,Bladder cancer,8.0,17.0
Morocco,Bladder cancer,5.1,5.8
Mozambique,Bladder cancer,5.5,2.7
Oman,Bladder cancer,5.2,3.1
Namibia,Bladder cancer,3.1,1.9
Nepal,Bladder cancer,1.7,1.5
Netherlands,Bladder cancer,17.4,45.5
New Caledonia,Bladder cancer,8.4,12.4
Vanuatu,Bladder cancer,2.0,1.2
New Zealand,Bladder cancer,5.8,13.5
Nicaragua,Bladder cancer,1.2,1.1
Niger,Bladder cancer,2.5,1.1
Nigeria,Bladder cancer,1.5,0.63
Norway,Bladder cancer,13.0,31.3
Pakistan,Bladder cancer,3.4,2.4
Panama,Bladder cancer,1.8,2.4
Papua New Guinea,Bladder cancer,2.4,1.5
Paraguay,Bladder cancer,2.6,2.6
Peru,Bladder cancer,2.3,3.2
Philippines,Bladder cancer,2.1,1.9
Poland,Bladder cancer,12.9,31.8
Portugal,Bladder cancer,11.0,34.7
Guinea-Bissau,Bladder cancer,1.6,0.87
Timor-Leste,Bladder cancer,1.6,1.1
Puerto Rico,Bladder cancer,4.9,14.1
Qatar,Bladder cancer,4.4,1.9
Reunion,Bladder cancer,4.8,9.0
Romania,Bladder cancer,11.8,27.1
Russia,Bladder cancer,6.9,13.3
Rwanda,Bladder cancer,0.81,0.45
St. Lucia,Bladder cancer,0.68,1.1
Sao Tome and Principe,Bladder cancer,5.6,3.1
Saudi Arabia,Bladder cancer,3.2,2.6
Senegal,Bladder cancer,3.2,1.8
Serbia,Bladder cancer,12.5,26.6
Sierra Leone,Bladder cancer,0.09,0.05
Singapore,Bladder cancer,3.9,7.8
Slovakia,Bladder cancer,11.7,26.6
Vietnam,Bladder cancer,1.6,2.0
Slovenia,Bladder cancer,12.2,32.2
Somalia,Bladder cancer,2.3,1.0
South Africa,Bladder cancer,4.1,3.5
Zimbabwe,Bladder cancer,2.7,1.3
Spain,Bladder cancer,19.3,45.8
South Sudan,Bladder cancer,1.8,0.94
Sudan,Bladder cancer,2.2,1.3
Suriname,Bladder cancer,2.0,2.2
Eswatini,Bladder cancer,1.1,0.59
Sweden,Bladder cancer,12.2,33.2
Switzerland,Bladder cancer,14.7,36.5
Syria,Bladder cancer,4.9,3.7
Tajikistan,Bladder cancer,1.0,0.69
Thailand,Bladder cancer,3.4,6.6
Togo,Bladder cancer,1.3,0.65
Trinidad and Tobago,Bladder cancer,3.7,6.0
United Arab Emirates,Bladder cancer,6.1,2.3
Tunisia,Bladder cancer,8.9,11.6
Türkiye,Bladder cancer,11.6,15.3
Turkmenistan,Bladder cancer,2.9,2.4
Uganda,Bladder cancer,1.9,0.67
Ukraine,Bladder cancer,6.3,12.6
North Macedonia,Bladder cancer,7.4,13.6
Egypt,Bladder cancer,15.2,12.3
United Kingdom,Bladder cancer,13.4,34.5
Tanzania,Bladder cancer,4.1,1.8
United States,Bladder cancer,10.5,24.0
Burkina Faso,Bladder cancer,9.7,4.5
Uruguay,Bladder cancer,8.8,17.1
Uzbekistan,Bladder cancer,2.6,2.3
Venezuela,Bladder cancer,3.6,4.3
Samoa,Bladder cancer,4.9,4.0
Yemen,Bladder cancer,2.1,1.1
Zambia,Bladder cancer,3.4,1.3
"Micronesia, Fed. Sts.",Bladder cancer,2.0,2.1
Afghanistan,Brain cancer,3.8,2.8
Albania,Brain cancer,7.0,9.7
Algeria,Brain cancer,4.5,4.5
Angola,Brain cancer,3.7,3.1
Azerbaijan,Brain cancer,5.5,6.5
Argentina,Brain cancer,3.7,4.4
Australia,Brain cancer,5.6,8.2
Austria,Brain cancer,5.3,8.0
Bahamas,Brain cancer,1.9,2.3
Bahrain,Brain cancer,2.1,1.7
Bangladesh,Brain cancer,0.81,0.8
Armenia,Brain cancer,6.8,9.1
Barbados,Brain cancer,1.1,2.1
Belgium,Brain cancer,5.0,7.5
Bhutan,Brain cancer,1.9,1.8
Bolivia,Brain cancer,2.3,2.2
Bosnia and Herzegovina,Brain cancer,6.6,11.9
Botswana,Brain cancer,0.58,0.57
Brazil,Brain cancer,4.6,5.7
Belize,Brain cancer,0.89,0.73
Solomon Islands,Brain cancer,0.34,0.28
Brunei Darussalam,Brain cancer,1.1,1.4
Bulgaria,Brain cancer,6.8,11.8
Myanmar,Brain cancer,2.1,2.0
Burundi,Brain cancer,1.3,0.78
Belarus,Brain cancer,5.1,6.9
Cambodia,Brain cancer,3.8,3.3
Cameroon,Brain cancer,0.51,0.39
Canada,Brain cancer,5.5,8.3
Cabo Verde,Brain cancer,0.25,0.18
Central African Republic,Brain cancer,0.74,0.52
Sri Lanka,Brain cancer,1.8,2.3
Chad,Brain cancer,0.75,0.41
Chile,Brain cancer,3.1,3.8
China,Brain cancer,4.2,6.2
Colombia,Brain cancer,3.3,3.8
Comoros,Brain cancer,0.0,0.0
Congo Republic,Brain cancer,0.29,0.24
DR Congo,Brain cancer,0.63,0.42
Costa Rica,Brain cancer,3.7,4.3
Croatia,Brain cancer,6.5,11.2
Cuba,Brain cancer,5.2,8.0
Cyprus,Brain cancer,6.9,11.0
Czechia,Brain cancer,4.9,8.4
Benin,Brain cancer,0.9,0.65
Denmark,Brain cancer,5.7,11.0
Dominican Republic,Brain cancer,3.4,3.7
Ecuador,Brain cancer,3.6,3.8
El Salvador,Brain cancer,3.9,4.4
Ethiopia,Brain cancer,1.1,0.79
Eritrea,Brain cancer,1.2,0.93
Estonia,Brain cancer,6.2,9.4
Fiji,Brain cancer,0.22,0.22
Finland,Brain cancer,4.8,7.8
France,Brain cancer,6.4,10.6
French Guiana,Brain cancer,2.0,1.9
French Polynesia,Brain cancer,2.1,2.8
Djibouti,Brain cancer,0.6,0.59
Gabon,Brain cancer,0.96,0.81
Georgia,Brain cancer,7.0,10.2
Gambia,Brain cancer,0.39,0.23
Palestine,Brain cancer,3.6,3.0
Germany,Brain cancer,5.1,9.5
Ghana,Brain cancer,1.8,1.3
Greece,Brain cancer,6.5,12.7
Guadeloupe,Brain cancer,1.8,3.8
Guam,Brain cancer,0.0,0.0
Guatemala,Brain cancer,1.8,1.5
Guinea,Brain cancer,3.7,1.6
Guyana,Brain cancer,0.24,0.25
Haiti,Brain cancer,0.37,0.3
Honduras,Brain cancer,4.6,4.2
Hungary,Brain cancer,5.2,8.3
Iceland,Brain cancer,8.2,13.9
India,Brain cancer,2.3,2.3
Indonesia,Brain cancer,2.0,2.1
Iran,Brain cancer,6.3,6.8
Iraq,Brain cancer,5.5,4.2
Ireland,Brain cancer,6.1,8.6
Israel,Brain cancer,5.1,6.2
Italy,Brain cancer,5.6,10.5
Cote d'Ivoire,Brain cancer,1.2,0.72
Jamaica,Brain cancer,2.1,2.1
Japan,Brain cancer,2.5,4.3
Kazakhstan,Brain cancer,3.7,4.0
Jordan,Brain cancer,4.8,4.2
Kenya,Brain cancer,2.1,1.3
North Korea,Brain cancer,3.3,4.2
South Korea,Brain cancer,2.9,4.2
Kuwait,Brain cancer,1.8,1.7
Kyrgyz Republic,Brain cancer,3.9,3.6
Laos,Brain cancer,3.0,2.6
Lebanon,Brain cancer,4.0,4.3
Lesotho,Brain cancer,0.47,0.41
Latvia,Brain cancer,6.5,10.4
Liberia,Brain cancer,2.4,1.3
Libya,Brain cancer,4.5,4.2
Lithuania,Brain cancer,6.8,11.7
Luxembourg,Brain cancer,3.2,6.4
Madagascar,Brain cancer,1.2,0.88
Malawi,Brain cancer,0.62,0.44
Malaysia,Brain cancer,2.5,2.6
Maldives,Brain cancer,1.5,1.7
Mali,Brain cancer,1.3,0.76
Malta,Brain cancer,5.2,9.2
Martinique,Brain cancer,2.1,4.3
Mauritania,Brain cancer,1.3,0.82
Mauritius,Brain cancer,2.4,3.1
Mexico,Brain cancer,2.6,2.7
Mongolia,Brain cancer,3.0,2.8
Moldova,Brain cancer,6.2,8.3
Montenegro,Brain cancer,7.9,12.3
Morocco,Brain cancer,3.5,3.7
Mozambique,Brain cancer,0.39,0.34
Oman,Brain cancer,2.7,2.4
Namibia,Brain cancer,1.5,1.3
Nepal,Brain cancer,1.1,0.96
Netherlands,Brain cancer,5.1,8.1
New Caledonia,Brain cancer,3.3,4.5
Vanuatu,Brain cancer,0.0,0.0
New Zealand,Brain cancer,5.4,7.8
Nicaragua,Brain cancer,2.6,2.5
Niger,Brain cancer,0.82,0.57
Nigeria,Brain cancer,1.1,0.75
Norway,Brain cancer,7.2,11.3
Pakistan,Brain cancer,2.7,2.3
Panama,Brain cancer,2.0,2.1
Papua New Guinea,Brain cancer,1.1,0.8
Paraguay,Brain cancer,2.6,2.5
Peru,Brain cancer,2.9,3.2
Philippines,Brain cancer,2.4,2.2
Poland,Brain cancer,6.7,10.9
Portugal,Brain cancer,6.2,11.9
Guinea-Bissau,Brain cancer,2.4,1.5
Timor-Leste,Brain cancer,1.0,0.95
Puerto Rico,Brain cancer,3.0,4.5
Qatar,Brain cancer,1.8,1.5
Reunion,Brain cancer,3.4,4.5
Romania,Brain cancer,6.5,11.1
Russia,Brain cancer,5.3,7.5
Rwanda,Brain cancer,1.6,1.3
St. Lucia,Brain cancer,0.0,0.0
Sao Tome and Principe,Brain cancer,0.0,0.0
Saudi Arabia,Brain cancer,1.9,1.9
Senegal,Brain cancer,2.1,1.1
Serbia,Brain cancer,5.9,9.8
Sierra Leone,Brain cancer,0.01,0.01
Singapore,Brain cancer,2.8,3.8
Slovakia,Brain cancer,5.7,9.2
Vietnam,Brain cancer,2.6,2.9
Slovenia,Brain cancer,5.8,10.9
Somalia,Brain cancer,1.4,0.9
South Africa,Brain cancer,1.5,1.4
Zimbabwe,Brain cancer,2.2,1.5
Spain,Brain cancer,5.4,9.2
South Sudan,Brain cancer,1.3,0.9
Sudan,Brain cancer,1.4,1.1
Suriname,Brain cancer,2.8,3.0
Eswatini,Brain cancer,0.47,0.51
Sweden,Brain cancer,6.1,9.1
Switzerland,Brain cancer,5.6,9.2
Syria,Brain cancer,6.3,5.3
Tajikistan,Brain cancer,4.5,3.7
Thailand,Brain cancer,2.8,3.7
Togo,Brain cancer,0.79,0.55
Trinidad and Tobago,Brain cancer,2.0,2.3
United Arab Emirates,Brain cancer,2.1,1.3
Tunisia,Brain cancer,3.3,3.8
Türkiye,Brain cancer,6.4,7.6
Turkmenistan,Brain cancer,4.3,4.1
Uganda,Brain cancer,1.9,0.95
Ukraine,Brain cancer,4.1,5.5
North Macedonia,Brain cancer,7.3,12.5
Egypt,Brain cancer,4.6,4.2
United Kingdom,Brain cancer,5.5,8.5
Tanzania,Brain cancer,0.46,0.31
United States,Brain cancer,5.5,7.5
Burkina Faso,Brain cancer,2.4,1.6
Uruguay,Brain cancer,4.9,6.9
Uzbekistan,Brain cancer,4.9,4.9
Venezuela,Brain cancer,2.8,3.0
Samoa,Brain cancer,2.2,2.0
Yemen,Brain cancer,2.9,2.4
Zambia,Brain cancer,2.0,1.2
"Micronesia, Fed. Sts.",Brain cancer,0.0,0.0
Afghanistan,Breast cancer,29.4,17.9
Albania,Breast cancer,51.1,72.6
Algeria,Breast cancer,61.9,65.1
Angola,Breast cancer,29.4,16.4
Azerbaijan,Breast cancer,32.9,42.6
Argentina,Breast cancer,71.3,91.8
Australia,Breast cancer,101.5,167.6
Austria,Breast cancer,69.5,130.3
Bahamas,Breast cancer,64.6,83.6
Bahrain,Breast cancer,58.5,51.7
Bangladesh,Breast cancer,15.2,15.6
Armenia,Breast cancer,39.6,64.4
Barbados,Breast cancer,57.7,97.7
Belgium,Breast cancer,104.4,191.5
Bhutan,Breast cancer,4.6,4.3
Bolivia,Breast cancer,26.8,28.1
Bosnia and Herzegovina,Breast cancer,51.9,92.8
Botswana,Breast cancer,23.0,20.5
Brazil,Breast cancer,63.1,86.4
Belize,Breast cancer,46.8,41.0
Solomon Islands,Breast cancer,49.2,36.4
Brunei Darussalam,Breast cancer,50.2,61.1
Bulgaria,Breast cancer,52.8,101.0
Myanmar,Breast cancer,23.4,26.7
Burundi,Breast cancer,25.3,13.6
Belarus,Breast cancer,56.6,102.9
Cambodia,Breast cancer,25.1,24.1
Cameroon,Breast cancer,48.6,30.2
Canada,Breast cancer,88.6,164.7
Cabo Verde,Breast cancer,23.4,23.7
Central African Republic,Breast cancer,37.7,22.7
Sri Lanka,Breast cancer,27.7,40.5
Chad,Breast cancer,14.2,8.6
Chile,Breast cancer,38.2,57.8
China,Breast cancer,33.0,51.7
Colombia,Breast cancer,50.7,64.9
Comoros,Breast cancer,21.5,14.5
Congo Republic,Breast cancer,26.9,18.3
DR Congo,Breast cancer,26.5,15.5
Costa Rica,Breast cancer,37.5,51.8
Croatia,Breast cancer,74.6,148.0
Cuba,Breast cancer,47.2,90.6
Cyprus,Breast cancer,104.8,166.7
Czechia,Breast cancer,72.5,142.0
Benin,Breast cancer,33.3,20.8
Denmark,Breast cancer,95.4,179.2
Dominican Republic,Breast cancer,53.4,58.6
Ecuador,Breast cancer,39.5,43.1
El Salvador,Breast cancer,39.7,46.2
Ethiopia,Breast cancer,40.8,28.0
Eritrea,Breast cancer,37.8,27.5
Estonia,Breast cancer,63.1,123.5
Fiji,Breast cancer,60.3,64.3
Finland,Breast cancer,92.3,191.1
France,Breast cancer,105.4,194.0
French Guiana,Breast cancer,55.7,54.2
French Polynesia,Breast cancer,71.9,96.2
Djibouti,Breast cancer,38.1,37.2
Gabon,Breast cancer,36.4,28.2
Georgia,Breast cancer,49.0,83.2
Gambia,Breast cancer,12.1,7.8
Palestine,Breast cancer,46.3,31.4
Germany,Breast cancer,77.0,174.7
Ghana,Breast cancer,40.2,31.5
Greece,Breast cancer,82.4,171.1
Guadeloupe,Breast cancer,66.4,109.4
Guam,Breast cancer,44.2,62.3
Guatemala,Breast cancer,28.4,23.8
Guinea,Breast cancer,16.0,10.1
Guyana,Breast cancer,52.6,58.1
Haiti,Breast cancer,25.2,22.9
Honduras,Breast cancer,27.3,23.7
Hungary,Breast cancer,76.4,153.0
Iceland,Breast cancer,71.1,119.3
India,Breast cancer,26.6,28.4
Indonesia,Breast cancer,41.8,47.8
Iran,Breast cancer,30.5,36.3
Iraq,Breast cancer,56.9,41.4
Ireland,Breast cancer,91.5,146.0
Israel,Breast cancer,78.7,103.2
Italy,Breast cancer,87.0,186.1
Cote d'Ivoire,Breast cancer,45.4,28.1
Jamaica,Breast cancer,71.1,88.2
Japan,Breast cancer,74.4,143.0
Kazakhstan,Breast cancer,36.9,46.3
Jordan,Breast cancer,60.0,51.1
Kenya,Breast cancer,40.8,25.6
North Korea,Breast cancer,32.3,44.8
South Korea,Breast cancer,61.5,96.6
Kuwait,Breast cancer,49.8,52.6
Kyrgyz Republic,Breast cancer,25.3,25.1
Laos,Breast cancer,31.6,27.7
Lebanon,Breast cancer,57.9,65.2
Lesotho,Breast cancer,18.9,17.0
Latvia,Breast cancer,66.0,126.8
Liberia,Breast cancer,33.6,23.6
Libya,Breast cancer,31.0,33.5
Lithuania,Breast cancer,62.7,120.2
Luxembourg,Breast cancer,99.7,178.1
Madagascar,Breast cancer,30.3,19.7
Malawi,Breast cancer,25.2,15.1
Malaysia,Breast cancer,46.1,51.9
Maldives,Breast cancer,39.8,41.8
Mali,Breast cancer,37.7,21.3
Malta,Breast cancer,86.3,174.5
Martinique,Breast cancer,77.2,142.3
Mauritania,Breast cancer,34.5,24.6
Mauritius,Breast cancer,52.7,83.0
Mexico,Breast cancer,39.9,46.2
