Country,Cancer,ASR,Crude_rate
Singapore,Breast cancer,72.6,126.0
Slovakia,Prostate cancer,69.2,135.6
Slovenia,Breast cancer,82.3,159.2
Solomon Islands,Breast cancer,49.2,36.4
Somalia,Breast cancer,38.6,21.4
South Africa,Prostate cancer,62.0,43.2
South Korea,Breast cancer,61.5,96.6
South Sudan,Breast cancer,28.0,18.5
Spain,Breast cancer,81.0,146.3
Sri Lanka,Breast cancer,27.7,40.5
St. Lucia,Prostate cancer,93.9,142.7
Sudan,Breast cancer,39.9,28.8
Suriname,Prostate cancer,75.2,71.1
Sweden,Prostate cancer,104.3,229.0
Switzerland,Breast cancer,77.4,150.4
Syria,Breast cancer,46.2,42.5
Tajikistan,Breast cancer,19.5,16.6
Tanzania,Cervical cancer,64.8,34.3
Thailand,Breast cancer,37.4,60.0
Timor-Leste,Breast cancer,26.4,19.3
Togo,Breast cancer,32.9,22.3
Trinidad and Tobago,Prostate cancer,73.6,111.7
Tunisia,Breast cancer,36.2,46.5
Turkmenistan,Breast cancer,31.1,31.8
Türkiye,Breast cancer,46.8,58.3
Uganda,Cervical cancer,53.8,28.3
Ukraine,Breast cancer,43.1,78.1
United Arab Emirates,Breast cancer,57.1,36.3
United Kingdom,Breast cancer,94.0,169.7
United States,Breast cancer,95.9,162.2
Uruguay,Breast cancer,75.1,121.0
Uzbekistan,Breast cancer,27.8,29.2
Vanuatu,Breast cancer,29.6,23.3
Venezuela,Prostate cancer,52.3,57.1
Vietnam,Breast cancer,38.0,49.6
Yemen,Breast cancer,25.4,18.6
Zambia,Cervical cancer,71.5,37.0
Zimbabwe,Prostate cancer,68.3,23.3
